T X Y S0 S1 S2 S3 
5 4048.982 5917.549 5 9 24 48 
6 4048.982 5917.549 4 14 20 46 
7 4111.928 5978.406 4 8 23 58 
8 4199.441 6063.015 5 18 27 51 
9 4287.169 6153.194 3 10 21 52 
10 4320.543 6187.497 3 12 22 55 
11 4334.009 6201.341 3 15 20 48 
12 4370.272 6237.713 3 14 28 53 
13 4443.972 6311.646 3 15 25 50 
14 4580.284 6447.527 5 15 28 45 
15 4617.754 6484.777 5 8 24 45 
16 4656.361 6523.584 4 13 25 40 
17 4678.948 6545.489 4 8 23 56 
18 4722.609 6583.918 4 16 26 49 
19 4814.431 6647.344 3 18 27 57 
20 4839.088 6663.912 3 12 29 57 
21 4880.372 6691.322 4 11 24 41 
22 4887.744 6696.214 5 18 25 57 
23 4890.388 6697.971 3 11 29 45 
24 4920.543 6717.997 5 16 25 46 
25 5002.339 6772.316 3 11 24 56 
26 5022.958 6786.004 5 15 28 46 
27 5068.838 6815.137 5 9 24 41 
28 5075.318 6819.251 4 9 24 59 
29 5078.61 6821.509 3 18 22 57 
30 5089.501 6828.97 5 16 24 47 
31 5116.555 6847.495 3 10 21 58 
32 5127.439 6854.456 4 13 25 44 
33 5136.807 6860.449 5 9 22 41 
34 5146.009 6866.442 4 12 20 54 
35 5155.456 6872.781 3 16 21 42 
36 5157.882 6874.404 5 11 27 58 
37 5186.774 6894.753 3 12 23 58 
38 5218.046 6918.382 3 15 21 58 
39 5221.355 6920.883 4 9 22 43 
40 5241.036 6935.683 4 10 20 41 
41 5276.948 6962.693 5 19 22 46 
42 5288.916 6971.7 3 14 28 53 
43 5304.963 6983.764 3 13 20 43 
44 5318.559 6993.994 3 14 27 55 
45 5349.087 7016.956 3 9 21 57 
46 5360.344 7027.075 5 17 28 40 
47 5402.747 7065.214 5 14 22 51 
48 5411.763 7073.332 5 13 25 42 
49 5422.399 7082.661 5 8 26 48 
50 5483.474 7136.279 4 18 21 56 
51 5495.624 7146.943 5 14 28 40 
52 5508.64 7158.407 3 16 25 45 
53 5531.539 7178.578 5 19 22 59 
54 5553.309 7197.759 3 19 23 43 
55 5577.731 7220.665 3 15 20 56 
56 5609.83 7247.496 3 10 22 48 
57 5637.254 7272.037 5 16 28 57 
58 5652.539 7284.257 4 10 25 42 
59 5652.539 7284.257 5 17 22 50 
