T X Y S0 S1 S2 S3 
0 9726.791 7631.097 3 18 28 49 
1 9726.791 7631.097 5 19 24 45 
2 9726.791 7631.097 4 18 26 49 
3 9726.791 7631.097 4 15 20 54 
4 9726.791 7631.097 5 16 27 58 
5 9726.791 7631.097 3 11 24 42 
6 9726.791 7631.097 4 18 21 45 
7 9726.791 7631.097 4 8 20 53 
8 9726.791 7631.097 3 17 23 48 
9 9726.791 7631.097 3 8 23 56 
10 9726.791 7631.097 5 11 23 54 
11 9726.791 7631.097 4 9 25 53 
12 9726.791 7631.097 5 9 21 40 
13 9726.791 7631.097 3 13 24 55 
14 9726.791 7631.097 4 14 24 56 
15 9726.791 7631.097 3 15 24 58 
16 9726.791 7631.097 4 16 23 44 
17 9726.791 7631.097 4 19 26 41 
18 9726.791 7631.097 5 18 24 42 
19 9726.791 7631.097 5 17 23 58 
20 9726.791 7631.097 4 11 21 56 
21 9726.791 7631.097 4 12 22 42 
22 9726.791 7631.097 4 13 28 51 
23 9726.791 7631.097 4 15 27 40 
24 9726.791 7631.097 5 14 21 43 
25 9726.791 7631.097 3 11 22 50 
26 9726.791 7631.097 3 11 27 59 
27 9726.791 7631.097 4 12 24 47 
28 9726.791 7631.097 4 18 27 55 
29 9726.791 7631.097 3 11 26 56 
30 9726.791 7631.097 3 8 29 46 
31 9726.791 7631.097 3 13 28 48 
32 9726.791 7631.097 4 14 28 58 
33 9726.791 7631.097 4 15 24 41 
34 9726.791 7631.097 4 14 24 44 
35 9726.791 7631.097 5 18 28 55 
36 9726.791 7631.097 5 17 27 44 
37 9726.791 7631.097 4 18 25 43 
38 9726.791 7631.097 5 15 21 48 
39 9726.791 7631.097 4 19 20 58 
40 9726.791 7631.097 4 15 29 45 
41 9726.791 7631.097 4 17 29 55 
42 9726.791 7631.097 5 14 27 43 
43 9726.791 7631.097 5 10 26 50 
44 9726.791 7631.097 3 15 23 43 
45 9726.791 7631.097 5 18 29 41 
46 9726.791 7631.097 5 8 22 59 
47 9726.791 7631.097 4 8 22 47 
48 9726.791 7631.097 5 19 21 43 
49 9726.791 7631.097 5 14 25 41 
50 9726.791 7631.097 4 12 26 41 
51 9726.791 7631.097 4 17 29 55 
52 9726.791 7631.097 5 14 22 43 
53 9726.791 7631.097 5 15 23 49 
54 9726.791 7631.097 5 18 26 54 
55 9726.791 7631.097 5 12 29 40 
56 9726.791 7631.097 4 12 23 45 
57 9726.791 7631.097 5 9 28 49 
58 9726.791 7631.097 3 11 26 49 
59 9726.791 7631.097 3 13 26 56 
