T X Y S0 S1 S2 S3 
10 7549.8 8789.725 5 9 23 51 
11 7548.929 8794.574 4 8 20 56 
12 7523.277 8826.042 5 8 27 47 
13 7510.461 8839.952 4 10 24 53 
14 7486.439 8870.308 4 14 24 56 
15 7473.568 8887.054 5 11 28 47 
16 7460.959 8905.88 5 11 28 45 
17 7451.6 8922.036 4 14 20 41 
18 7443.266 8938.615 4 13 25 52 
19 7430.902 8966.314 4 12 22 48 
20 7418.389 9004.354 3 19 26 45 
21 7415.58 9012.071 5 19 27 43 
22 7401.726 9050.945 4 18 23 49 
23 7383.84 9094.978 4 17 29 47 
24 7376.949 9114.326 4 14 24 52 
25 7371.495 9131.672 5 11 27 47 
26 7358.133 9169.879 4 18 21 48 
27 7338.251 9223.408 4 16 27 47 
28 7329.869 9245.291 4 15 24 42 
29 7322.605 9270.143 5 8 25 49 
30 7318.54 9300.766 4 14 27 43 
31 7317.556 9324.228 4 15 28 44 
32 7317.062 9357.476 5 14 24 44 
33 7317.622 9386.987 5 14 26 56 
34 7318.999 9414.029 5 15 23 43 
35 7320.09 9447.555 4 9 21 49 
36 7321.449 9464.934 3 17 29 53 
37 7323.632 9481.08 4 15 24 47 
38 7327.379 9501.829 4 8 24 40 
39 7331.949 9521.766 4 12 22 46 
40 7335.882 9539.546 4 18 23 45 
41 7341.696 9558.561 4 19 28 56 
42 7351.082 9579.109 3 15 26 53 
43 7366.443 9604.718 4 9 21 45 
44 7400.951 9643.68 4 14 28 40 
45 7366.443 9604.718 5 17 20 55 
46 7351.082 9579.109 4 9 28 43 
47 7341.696 9558.561 3 12 25 55 
48 7335.882 9539.546 5 14 21 57 
49 7331.949 9521.766 3 18 25 50 
50 7327.379 9501.829 4 9 25 40 
51 7323.632 9481.08 4 14 24 41 
52 7321.449 9464.934 3 12 23 44 
53 7320.09 9447.555 4 13 21 44 
54 7318.999 9414.029 4 10 22 47 
55 7317.622 9386.987 3 14 24 45 
56 7317.062 9357.476 4 13 26 52 
57 7317.556 9324.228 5 17 20 47 
58 7318.54 9300.766 5 10 24 44 
59 7318.54 9300.766 5 18 27 42 
