T X Y S0 S1 S2 S3 
0 4048.982 5917.549 5 9 25 45 
1 4048.982 5917.549 5 15 26 52 
2 4048.982 5917.549 5 18 29 59 
3 4048.982 5917.549 4 18 26 41 
4 4048.982 5917.549 3 8 28 51 
5 4048.982 5917.549 5 14 29 57 
6 4048.982 5917.549 5 14 25 53 
7 4048.982 5917.549 4 15 29 46 
8 4048.982 5917.549 4 18 21 49 
9 4048.982 5917.549 4 19 28 57 
10 4048.982 5917.549 3 8 23 59 
11 4048.982 5917.549 3 9 29 44 
12 4048.982 5917.549 3 12 24 56 
13 4048.982 5917.549 3 19 23 41 
14 4048.982 5917.549 3 17 29 55 
15 4048.982 5917.549 4 14 22 55 
16 4048.982 5917.549 5 9 28 49 
17 4048.982 5917.549 3 16 21 57 
18 4048.982 5917.549 5 11 29 43 
19 4048.982 5917.549 5 10 28 53 
20 4048.982 5917.549 5 19 29 53 
21 4048.982 5917.549 3 15 23 55 
22 4048.982 5917.549 5 10 24 57 
23 4048.982 5917.549 5 9 25 57 
24 4048.982 5917.549 3 16 24 56 
25 4048.982 5917.549 3 13 25 43 
26 4048.982 5917.549 5 16 25 57 
27 4048.982 5917.549 4 11 21 48 
28 4048.982 5917.549 3 10 20 46 
29 4048.982 5917.549 4 15 25 58 
30 4048.982 5917.549 5 8 24 52 
31 4048.982 5917.549 5 12 20 49 
32 4048.982 5917.549 3 14 29 53 
33 4048.982 5917.549 3 16 25 56 
34 4048.982 5917.549 3 13 21 49 
35 4048.982 5917.549 4 14 20 51 
36 4048.982 5917.549 4 11 29 40 
37 4048.982 5917.549 3 10 21 54 
38 4048.982 5917.549 3 17 27 49 
39 4048.982 5917.549 3 19 25 59 
40 4048.982 5917.549 4 13 29 40 
41 4048.982 5917.549 3 11 21 41 
42 4048.982 5917.549 5 12 25 48 
43 4048.982 5917.549 4 13 29 50 
44 4048.982 5917.549 3 17 20 55 
45 4048.982 5917.549 3 13 29 41 
46 4048.982 5917.549 5 17 22 53 
47 4048.982 5917.549 5 11 22 45 
48 4048.982 5917.549 3 15 25 52 
49 4048.982 5917.549 4 16 21 53 
50 4048.982 5917.549 4 12 27 44 
51 4048.982 5917.549 3 18 25 43 
52 4048.982 5917.549 4 14 26 51 
53 4048.982 5917.549 4 9 24 48 
54 4048.982 5917.549 3 12 29 58 
55 4048.982 5917.549 4 18 28 57 
56 4048.982 5917.549 4 17 28 42 
57 4048.982 5917.549 3 19 22 59 
58 4048.982 5917.549 3 14 25 41 
59 4048.982 5917.549 4 18 29 55 
