T X Y S0 S1 S2 S3 
0 9670.254 7692.232 5 8 27 58 
1 9670.254 7692.232 4 8 25 43 
2 9670.254 7692.232 4 16 20 44 
3 9670.254 7692.232 5 9 22 57 
4 9670.254 7692.232 3 13 23 51 
5 9670.254 7692.232 4 12 22 49 
6 9670.254 7692.232 4 10 20 42 
7 9670.254 7692.232 5 11 20 54 
8 9670.254 7692.232 4 11 23 54 
9 9670.254 7692.232 4 8 21 50 
10 9670.254 7692.232 5 10 25 55 
11 9670.254 7692.232 3 8 29 45 
12 9670.254 7692.232 5 9 21 52 
13 9670.254 7692.232 4 18 28 44 
14 9670.254 7692.232 3 19 23 47 
15 9670.254 7692.232 5 19 24 47 
16 9670.254 7692.232 5 13 26 40 
17 9670.254 7692.232 3 12 26 55 
18 9670.254 7692.232 3 11 21 47 
19 9670.254 7692.232 4 16 23 58 
20 9670.254 7692.232 3 12 23 46 
21 9670.254 7692.232 5 9 24 40 
22 9670.254 7692.232 3 19 20 49 
23 9670.254 7692.232 5 15 29 51 
24 9670.254 7692.232 4 19 24 54 
25 9670.254 7692.232 4 16 28 54 
26 9670.254 7692.232 4 15 22 42 
27 9670.254 7692.232 3 15 29 59 
28 9670.254 7692.232 4 16 24 50 
29 9670.254 7692.232 5 13 24 46 
30 9670.254 7692.232 3 10 20 42 
31 9670.254 7692.232 5 9 28 48 
32 9670.254 7692.232 5 12 23 45 
33 9670.254 7692.232 4 17 22 44 
34 9670.254 7692.232 3 13 23 59 
35 9670.254 7692.232 3 19 23 56 
36 9670.254 7692.232 3 13 22 51 
37 9670.254 7692.232 4 14 27 48 
38 9670.254 7692.232 4 8 25 42 
39 9670.254 7692.232 4 18 21 53 
40 9670.254 7692.232 4 18 22 46 
41 9670.254 7692.232 4 11 25 54 
42 9670.254 7692.232 4 13 21 43 
43 9670.254 7692.232 4 9 20 51 
44 9670.254 7692.232 5 9 24 45 
45 9670.254 7692.232 4 10 28 43 
46 9670.254 7692.232 5 8 22 44 
47 9670.254 7692.232 4 18 29 57 
48 9670.254 7692.232 5 19 25 56 
49 9670.254 7692.232 5 18 29 47 
50 9670.254 7692.232 5 15 28 48 
51 9670.254 7692.232 5 18 20 44 
52 9670.254 7692.232 4 13 25 55 
53 9670.254 7692.232 4 13 28 40 
54 9670.254 7692.232 3 12 29 55 
55 9670.254 7692.232 3 18 20 55 
56 9670.254 7692.232 4 16 24 58 
57 9670.254 7692.232 5 11 29 56 
58 9670.254 7692.232 4 18 27 54 
59 9670.254 7692.232 3 16 26 41 
