T X Y S0 S1 S2 S3 
3 8862.373 7890.381 3 11 23 52 
4 8861.609 7891.949 4 14 20 51 
5 8822.168 7992.102 3 18 24 41 
6 8818.385 8000.664 4 12 22 57 
7 8815.758 8008.036 4 12 22 59 
8 8803.29 8045.731 3 12 24 58 
9 8775.325 8144.539 3 9 20 55 
10 8773.048 8152.034 5 12 27 57 
11 8768.477 8167.879 3 10 27 46 
12 8757.77 8204.951 5 14 28 53 
13 8747.978 8238.866 3 11 29 51 
14 8734.142 8286.791 4 16 29 43 
15 8732.788 8291.472 3 17 22 49 
16 8731.61 8295.786 3 9 21 54 
17 8719.697 8339.453 4 19 26 42 
18 8715.556 8354.631 3 8 20 57 
19 8714.44 8358.512 4 8 21 44 
20 8708.612 8378.76 5 16 29 57 
21 8703.688 8396.774 4 17 21 54 
22 8701.842 8403.368 4 10 21 42 
23 8701.394 8405.002 5 11 29 59 
24 8695.635 8426.229 4 8 24 44 
25 8691.591 8441.007 3 11 20 43 
26 8687.731 8455.129 5 11 28 42 
27 8682.14 8475.566 4 18 27 40 
28 8677.744 8491.667 3 9 20 41 
29 8675.379 8500.296 3 8 28 43 
30 8672.658 8506.412 5 12 24 47 
31 8666.964 8515.519 4 9 21 54 
32 8663.008 8521.868 5 9 29 40 
33 8666.964 8515.519 4 8 21 59 
34 8672.658 8506.412 4 14 20 40 
35 8675.379 8500.296 5 18 23 51 
36 8677.744 8491.667 5 15 23 55 
37 8682.14 8475.566 4 13 23 56 
38 8687.731 8455.129 4 11 24 59 
39 8691.591 8441.007 3 17 27 56 
40 8695.635 8426.229 4 17 21 59 
41 8701.394 8405.002 4 8 21 42 
42 8701.842 8403.368 3 17 27 52 
43 8703.688 8396.774 4 10 27 58 
44 8708.612 8378.76 3 10 25 49 
45 8714.44 8358.512 3 11 22 54 
46 8715.556 8354.631 4 15 25 49 
47 8719.697 8339.453 4 15 28 45 
48 8731.61 8295.786 4 11 26 47 
49 8732.788 8291.472 3 12 22 46 
50 8734.142 8286.791 4 13 29 52 
51 8747.978 8238.866 5 14 23 55 
52 8757.77 8204.951 5 11 21 58 
53 8768.477 8167.879 5 10 26 44 
54 8773.048 8152.034 3 10 22 40 
55 8775.325 8144.539 4 18 27 46 
56 8803.29 8045.731 5 18 24 53 
57 8815.758 8008.036 3 18 20 50 
58 8818.385 8000.664 5 16 26 43 
59 8818.385 8000.664 4 9 20 46 
