T X Y S0 S1 S2 S3 
0 5652.539 7284.257 5 9 24 59 
1 5652.539 7284.257 5 18 20 53 
2 5652.539 7284.257 5 12 21 41 
3 5652.539 7284.257 4 13 26 49 
4 5652.539 7284.257 3 8 23 45 
5 5652.539 7284.257 4 11 21 41 
6 5652.539 7284.257 4 9 29 43 
7 5652.539 7284.257 3 13 21 41 
8 5652.539 7284.257 5 15 29 43 
9 5652.539 7284.257 4 14 20 47 
10 5652.539 7284.257 3 11 25 41 
11 5652.539 7284.257 5 8 21 47 
12 5652.539 7284.257 4 17 22 49 
13 5652.539 7284.257 4 17 27 53 
14 5652.539 7284.257 5 10 22 46 
15 5652.539 7284.257 4 9 29 45 
16 5652.539 7284.257 3 11 27 59 
17 5652.539 7284.257 4 8 21 54 
18 5652.539 7284.257 3 14 28 45 
19 5652.539 7284.257 4 19 24 47 
20 5652.539 7284.257 3 15 24 50 
21 5652.539 7284.257 4 16 20 56 
22 5652.539 7284.257 4 10 21 58 
23 5652.539 7284.257 5 18 20 57 
24 5652.539 7284.257 3 16 29 44 
25 5652.539 7284.257 3 17 28 54 
26 5652.539 7284.257 3 15 28 52 
27 5652.539 7284.257 3 18 24 46 
28 5652.539 7284.257 4 13 20 50 
29 5652.539 7284.257 3 18 26 55 
30 5652.539 7284.257 3 10 24 40 
31 5652.539 7284.257 5 14 24 55 
32 5652.539 7284.257 4 9 21 43 
33 5652.539 7284.257 3 16 25 54 
34 5652.539 7284.257 5 17 21 56 
35 5652.539 7284.257 5 18 29 41 
36 5652.539 7284.257 5 13 23 42 
37 5652.539 7284.257 5 12 25 58 
38 5652.539 7284.257 5 13 23 42 
39 5652.539 7284.257 3 12 24 50 
40 5652.539 7284.257 4 11 25 55 
41 5652.539 7284.257 3 10 29 42 
42 5652.539 7284.257 4 12 26 58 
43 5652.539 7284.257 4 15 22 50 
44 5652.539 7284.257 3 16 29 40 
45 5652.539 7284.257 4 12 22 44 
46 5652.539 7284.257 3 10 24 48 
47 5652.539 7284.257 3 8 23 54 
48 5652.539 7284.257 3 15 21 41 
49 5652.539 7284.257 5 9 26 59 
50 5652.539 7284.257 5 13 28 46 
51 5652.539 7284.257 4 12 29 59 
52 5652.539 7284.257 3 8 23 51 
53 5652.539 7284.257 5 17 24 42 
54 5652.539 7284.257 4 17 25 52 
55 5652.539 7284.257 4 8 29 45 
56 5652.539 7284.257 5 15 20 45 
57 5652.539 7284.257 4 16 27 40 
58 5652.539 7284.257 4 13 26 46 
59 5652.539 7284.257 5 14 28 55 
