T X Y S0 S1 S2 S3 
0 11395.947 5800.728 5 17 26 57 
1 11395.947 5800.728 5 19 23 56 
2 11395.947 5800.728 4 15 26 45 
3 11395.947 5800.728 5 11 29 53 
4 11395.947 5800.728 5 14 22 48 
5 11395.947 5800.728 3 16 21 48 
6 11395.947 5800.728 5 8 22 47 
7 11395.947 5800.728 4 18 29 49 
8 11395.947 5800.728 5 11 25 54 
9 11395.947 5800.728 4 19 29 52 
10 11395.947 5800.728 4 8 25 44 
11 11395.947 5800.728 5 8 21 43 
12 11395.947 5800.728 4 12 22 52 
13 11395.947 5800.728 5 14 29 40 
14 11395.947 5800.728 5 14 28 44 
15 11395.947 5800.728 4 19 20 51 
16 11395.947 5800.728 5 8 25 43 
17 11395.947 5800.728 4 12 22 54 
18 11395.947 5800.728 3 12 25 42 
19 11395.947 5800.728 3 11 23 49 
20 11395.947 5800.728 5 10 28 52 
21 11395.947 5800.728 5 12 26 57 
22 11395.947 5800.728 3 19 28 50 
23 11395.947 5800.728 5 11 27 40 
24 11395.947 5800.728 5 11 22 52 
25 11395.947 5800.728 5 9 22 42 
26 11395.947 5800.728 4 10 23 42 
27 11395.947 5800.728 3 18 23 58 
28 11395.947 5800.728 4 13 29 40 
29 11395.947 5800.728 5 8 22 40 
30 11395.947 5800.728 4 19 26 56 
31 11395.947 5800.728 5 11 24 48 
32 11395.947 5800.728 3 13 21 57 
33 11395.947 5800.728 5 9 28 48 
34 11395.947 5800.728 3 14 22 42 
35 11395.947 5800.728 5 13 23 50 
36 11395.947 5800.728 3 17 20 50 
37 11395.947 5800.728 4 10 28 53 
38 11395.947 5800.728 5 15 24 57 
39 11395.947 5800.728 3 15 21 51 
40 11395.947 5800.728 5 13 26 40 
41 11395.947 5800.728 5 18 24 50 
42 11395.947 5800.728 4 18 29 41 
43 11395.947 5800.728 3 19 21 56 
44 11395.947 5800.728 3 10 29 53 
45 11395.947 5800.728 4 10 29 59 
46 11395.947 5800.728 5 11 23 43 
47 11395.947 5800.728 4 13 29 45 
48 11395.947 5800.728 5 8 20 54 
49 11395.947 5800.728 3 9 28 43 
50 11395.947 5800.728 3 12 26 48 
51 11395.947 5800.728 3 14 21 57 
52 11395.947 5800.728 5 11 27 52 
53 11395.947 5800.728 4 14 21 58 
54 11395.947 5800.728 5 9 25 45 
55 11395.947 5800.728 4 17 27 57 
56 11395.947 5800.728 5 15 21 53 
57 11395.947 5800.728 4 13 28 42 
58 11395.947 5800.728 3 8 28 47 
59 11395.947 5800.728 3 12 28 58 
