T X Y S0 S1 S2 S3 
7 11668.623 5516.047 5 15 23 58 
8 11496.559 5706.968 5 8 21 53 
9 11484.713 5720.645 5 13 23 41 
10 11404.888 5808.856 3 15 23 40 
11 11399.694 5814.605 5 12 29 43 
12 11371.706 5845.406 3 19 25 57 
13 11345.482 5873.561 3 11 25 52 
14 11339.596 5879.877 5 13 24 58 
15 11280.723 5945.982 3 11 24 51 
16 11271.792 5956.123 5 8 20 51 
17 11224.658 6010.086 5 12 23 53 
18 11044.111 6206.456 4 8 28 44 
19 10944.893 6313.982 3 15 24 51 
20 10870.766 6394.264 5 13 21 44 
21 10826.993 6441.633 5 10 26 48 
22 10826.993 6441.633 4 13 25 57 
23 10826.993 6441.633 5 10 20 41 
24 10572.518 6718.953 4 19 24 58 
25 10504.617 6792.854 5 10 27 59 
26 10499.363 6798.569 5 17 28 46 
27 10489.013 6809.911 3 10 20 41 
28 10455.672 6847.117 3 18 24 42 
29 10450.68 6852.688 5 19 24 42 
30 10448.812 6854.734 5 13 29 50 
31 10440.944 6863.362 3 9 28 48 
32 10435.392 6869.356 3 15 25 58 
33 10288.766 7027.742 3 15 24 54 
34 10187.638 7137.825 4 9 21 56 
35 10117.119 7216.773 5 11 22 48 
36 10046.074 7297.167 5 19 25 42 
37 10034.497 7309.843 4 16 25 56 
38 10024.937 7320.296 4 14 21 43 
39 9974.33 7377.672 5 17 27 49 
40 9943.018 7413.477 3 13 23 44 
41 9910.654 7450.394 5 17 28 59 
42 9858.383 7509.105 5 12 26 55 
43 9839.527 7530.12 5 14 21 45 
44 9806.639 7566.815 4 19 26 56 
45 9745.515 7631.864 5 11 21 45 
46 9743.533 7633.976 5 8 29 43 
47 9742.007 7635.611 4 18 26 59 
48 9738.57 7639.236 5 18 20 48 
49 9733.386 7645.229 3 19 27 57 
50 9731.949 7646.119 4 15 23 43 
51 9721.487 7656.994 3 13 26 58 
52 9716.157 7661.864 5 10 22 58 
53 9709.344 7668.091 4 11 29 53 
54 9704.215 7672.784 5 8 23 42 
55 9661.619 7713.158 4 19 29 43 
56 9704.215 7672.784 5 8 27 59 
57 9709.344 7668.091 5 8 27 44 
58 9716.157 7661.864 5 17 20 49 
59 9716.157 7661.864 3 10 28 44 
