2007-11-04,3027 X,3027 Y,3028 X,3028 Y,3029 X,3029 Y,3030 X,3030 Y,3031 X,3031 Y,3032 X,3032 Y,3033 X,3033 Y,3034 X,3034 Y,3035 X,3035 Y,3036 X,3036 Y,3037 X,3037 Y,3039 X,3039 Y,3040 X,3040 Y,3041 X,3041 Y,3103 X,3103 Y
7:10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:9,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:10,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:11,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:12,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:13,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:14,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:15,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:16,-,-,-,-,-,-,42.393593,-72.53329,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:17,-,-,-,-,-,-,42.393574,-72.533264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:18,-,-,-,-,-,-,42.393562,-72.533264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:19,-,-,-,-,-,-,42.39346,-72.533264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:20,-,-,-,-,-,-,42.393528,-72.53282,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:21,-,-,-,-,-,-,42.393612,-72.53288,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:22,-,-,-,-,-,-,42.39361,-72.5328,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:23,-,-,-,-,-,-,42.393597,-72.532745,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:24,-,-,-,-,-,-,42.39359,-72.532814,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:25,-,-,-,-,-,-,42.393597,-72.53283,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:26,-,-,-,-,-,-,42.39361,-72.53283,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:27,-,-,-,-,-,-,42.393612,-72.53278,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:28,-,-,-,-,-,-,42.392765,-72.53354,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:29,-,-,-,-,-,-,42.38882,-72.53233,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:30,-,-,-,-,-,-,42.384933,-72.53232,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:31,-,-,-,-,-,-,42.382206,-72.5336,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:32,-,-,-,-,-,-,42.37948,-72.53405,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:33,-,-,-,-,-,-,42.378525,-72.53722,-,-,-,-,0.0,-1.8111362E22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:34,-,-,-,-,-,-,42.37821,-72.535355,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-
8:35,-,-,-,-,-,-,42.378124,-72.535416,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,0.0,-1.8111362E22,-,-,-,-,-,-,-,-
8:36,-,-,-,-,-,-,42.378086,-72.53542,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,42.393757,-72.53317,-,-,-,-,-,-,-,-
8:37,-,-,-,-,-,-,42.378124,-72.5354,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,42.39374,-72.53286,-,-,-,-,-,-,-,-
8:38,-,-,-,-,-,-,42.378124,-72.53543,-,-,-,-,0.0,-0.0,-,-,0.0,-0.0,-,-,42.393764,-72.53286,-,-,-,-,-,-,-,-
8:39,-,-,-,-,-,-,42.37814,-72.535355,-,-,-,-,0.0,-0.0,-,-,0.0,-1.1095744E27,-,-,42.39373,-72.53286,-,-,-,-,-,-,-,-
8:40,-,-,-,-,-,-,42.378124,-72.53541,-,-,-,-,0.0,-0.0,-,-,0.0,-0.0,-,-,42.393715,-72.53279,-,-,-,-,-,-,-,-
8:41,-,-,-,-,-,-,42.378155,-72.53544,-,-,-,-,0.0,-0.0,-,-,0.0,-0.0,-,-,42.39366,-72.53279,-,-,-,-,-,-,-,-
8:42,-,-,-,-,-,-,42.378212,-72.53533,-,-,-,-,0.0,-0.0,-,-,0.0,-0.0,-,-,42.393673,-72.53286,-,-,-,-,-,-,-,-
8:43,-,-,-,-,-,-,42.378166,-72.53542,-,-,-,-,0.0,-0.0,-,-,42.393726,-72.53293,-,-,42.39375,-72.532845,-,-,-,-,-,-,-,-
8:44,-,-,-,-,-,-,42.37821,-72.5354,-,-,-,-,0.0,-0.0,-,-,42.39371,-72.53291,-,-,42.39381,-72.532745,-,-,-,-,-,-,-,-
8:45,-,-,-,-,-,-,42.37813,-72.53539,-,-,-,-,0.0,-0.0,-,-,42.393654,-72.53297,-,-,42.393776,-72.53284,-,-,-,-,-,-,-,-
8:46,-,-,-,-,-,-,42.37812,-72.535385,-,-,-,-,0.0,-0.0,-,-,42.393658,-72.533,-,-,42.39382,-72.53282,-,-,-,-,-,-,-,-
8:47,-,-,-,-,-,-,42.378166,-72.535385,-,-,-,-,0.0,-0.0,-,-,42.39361,-72.5331,-,-,42.39383,-72.532845,-,-,-,-,-,-,-,-
8:48,-,-,-,-,-,-,42.37817,-72.535355,-,-,-,-,0.0,-0.0,-,-,42.39367,-72.53312,-,-,42.39145,-72.53332,-,-,-,-,-,-,-,-
8:49,-,-,-,-,-,-,42.378155,-72.53542,-,-,-,-,0.0,-0.0,-,-,42.39368,-72.533035,-,-,42.384983,-72.530815,-,-,-,-,-,-,-,-
8:50,-,-,-,-,-,-,42.37817,-72.53538,-,-,-,-,0.0,-0.0,-,-,42.3937,-72.53292,-,-,42.386288,-72.52536,-,-,-,-,-,-,-,-
8:51,-,-,-,-,-,-,42.378162,-72.53535,-,-,-,-,0.0,-0.0,-,-,42.39272,-72.53368,-,-,42.386967,-72.52647,-,-,-,-,-,-,-,-
8:52,-,-,-,-,-,-,42.378162,-72.53539,-,-,-,-,0.0,-0.0,-,-,42.388855,-72.53227,-,-,42.385868,-72.52278,-,-,-,-,-,-,-,-
8:53,-,-,-,-,-,-,42.378193,-72.53598,-,-,-,-,0.0,-0.0,-,-,42.384533,-72.5336,-,-,42.380363,-72.51939,-,-,-,-,-,-,-,-
8:54,-,-,-,-,-,-,42.378,-72.53537,-,-,-,-,0.0,-0.0,-,-,42.385765,-72.54249,-,-,42.376244,-72.51986,-,-,-,-,-,-,-,-
8:55,-,-,-,-,-,-,42.37831,-72.537254,-,-,-,-,0.0,-0.0,-,-,42.37691,-72.541916,-,-,42.37236,-72.51973,-,-,-,-,-,-,-,-
8:56,-,-,-,-,-,-,42.378185,-72.53578,-,-,-,-,0.0,-0.0,-,-,42.365135,-72.54334,-,-,42.3732,-72.51884,-,-,-,-,-,-,-,-
8:57,-,-,-,-,-,-,42.37803,-72.53599,-,-,-,-,0.0,-0.0,-,-,42.35947,-72.547585,-,-,42.37321,-72.5188,-,-,-,-,-,-,-,-
8:58,-,-,-,-,-,-,42.378136,-72.53521,-,-,-,-,0.0,-0.0,-,-,42.35561,-72.55511,-,-,42.373047,-72.518906,-,-,-,-,-,-,-,-
8:59,-,-,-,-,-,-,42.378147,-72.53522,-,-,-,-,0.0,-0.0,-,-,42.350235,-72.565865,-,-,42.37309,-72.518845,-,-,-,-,-,-,-,-
9:0,-,-,-,-,-,-,42.37817,-72.53521,-,-,-,-,42.37763,-72.53597,-,-,42.34564,-72.57552,-,-,42.37308,-72.518845,-,-,-,-,-,-,-,-
9:1,-,-,-,-,-,-,42.378174,-72.53522,-,-,-,-,42.378265,-72.53556,-,-,42.34247,-72.58506,-,-,42.373154,-72.51886,-,-,-,-,-,-,-,-
9:2,-,-,-,-,-,-,42.378155,-72.53537,-,-,-,-,42.378307,-72.53562,-,-,42.34224,-72.591125,-,-,42.371277,-72.51975,-,-,-,-,-,-,-,-
9:3,-,-,-,-,-,-,42.378128,-72.5356,-,-,-,-,42.37829,-72.5356,-,-,42.340664,-72.602295,-,-,42.361454,-72.52076,-,-,-,-,-,-,-,-
9:4,-,-,-,-,-,-,42.37817,-72.53459,-,-,-,-,42.378304,-72.535614,-,-,42.338688,-72.61461,-,-,42.350986,-72.520134,-,-,-,-,-,-,-,-
9:5,-,-,-,-,-,-,42.378162,-72.535225,-,-,-,-,42.37833,-72.53566,-,-,42.334026,-72.620605,-,-,42.34095,-72.51994,-,-,-,-,-,-,-,-
9:6,-,-,-,-,-,-,42.378017,-72.534775,-,-,-,-,42.37821,-72.535515,-,-,42.3293,-72.62401,-,-,42.331852,-72.52372,-,-,-,-,-,-,-,-
9:7,-,-,-,-,-,-,42.378147,-72.53534,-,-,-,-,42.378277,-72.53556,-,-,42.32215,-72.62621,-,-,42.323326,-72.525795,-,-,-,-,-,-,-,-
9:8,-,-,-,-,-,-,42.378147,-72.535194,-,-,-,-,42.378326,-72.53564,-,-,42.3183,-72.63144,-,-,42.32519,-72.53056,-,-,-,-,-,-,-,-
9:9,-,-,-,-,-,-,42.37817,-72.53548,-,-,-,-,42.378242,-72.53555,-,-,42.31778,-72.6339,-,-,42.32522,-72.531075,-,-,-,-,-,-,-,-
9:10,-,-,-,-,-,-,42.378353,-72.5354,-,-,-,-,42.378223,-72.53552,-,-,42.31885,-72.63603,-,-,42.325233,-72.53104,-,-,-,-,-,-,-,-
9:11,-,-,-,-,-,-,42.37799,-72.53557,-,-,-,-,-,-,-,-,42.320004,-72.637924,-,-,42.324955,-72.53055,-,-,-,-,-,-,-,-
9:12,-,-,-,-,-,-,42.378094,-72.53563,-,-,-,-,-,-,-,-,42.319633,-72.63753,-,-,42.322285,-72.529495,-,-,-,-,-,-,-,-
9:13,-,-,-,-,-,-,42.378166,-72.53554,-,-,-,-,-,-,-,-,-,-,-,-,42.321747,-72.53404,-,-,-,-,-,-,-,-
9:14,-,-,-,-,-,-,42.378082,-72.5354,-,-,-,-,-,-,-,-,-,-,-,-,42.319572,-72.52864,-,-,-,-,-,-,-,-
9:15,-,-,-,-,-,-,42.37808,-72.535645,-,-,-,-,-,-,-,-,-,-,-,-,42.312473,-72.53052,-,-,-,-,-,-,-,-
9:16,-,-,-,-,-,-,42.377907,-72.53548,-,-,-,-,-,-,-,-,-,-,-,-,42.303913,-72.52785,-,-,-,-,-,-,-,-
9:17,-,-,-,-,-,-,42.37796,-72.5354,-,-,-,-,-,-,-,-,-,-,-,-,42.29261,-72.53191,-,-,-,-,-,-,-,-
9:18,-,-,-,-,-,-,42.37828,-72.53524,-,-,-,-,-,-,-,-,42.31944,-72.63785,-,-,42.285957,-72.54281,-,-,-,-,-,-,-,-
9:19,-,-,-,-,-,-,42.378212,-72.534775,-,-,-,-,-,-,-,-,42.319668,-72.63754,-,-,42.28185,-72.55507,-,-,-,-,-,-,-,-
9:20,-,-,-,-,-,-,42.378292,-72.5352,-,-,-,-,-,-,-,-,42.31971,-72.63757,-,-,42.276302,-72.56448,-,-,-,-,-,-,-,-
9:21,-,-,-,-,-,-,42.378315,-72.535355,-,-,-,-,-,-,-,-,42.31959,-72.63756,-,-,42.267067,-72.567566,-,-,-,-,-,-,-,-
9:22,-,-,-,-,-,-,42.37792,-72.53511,-,-,-,-,-,-,-,-,42.317844,-72.635,-,-,42.261646,-72.572685,-,-,-,-,-,-,-,-
9:23,-,-,-,-,-,-,42.3783,-72.5354,-,-,-,-,-,-,-,-,42.317852,-72.63256,-,-,42.25794,-72.57253,-,-,-,-,-,-,-,-
9:24,-,-,-,-,-,-,42.3783,-72.53502,-,-,-,-,42.378063,-72.5349,-,-,42.319084,-72.63028,-,-,42.25501,-72.57294,-,-,-,-,-,-,-,-
9:25,-,-,-,-,-,-,42.378235,-72.5354,-,-,-,-,42.378017,-72.534775,-,-,42.323006,-72.62517,-,-,42.25428,-72.57419,-,-,-,-,-,-,-,-
9:26,-,-,-,-,-,-,42.378098,-72.535194,-,-,-,-,42.378475,-72.53577,-,-,42.32896,-72.62416,-,-,42.25431,-72.57424,-,-,-,-,-,-,-,-
9:27,-,-,-,-,-,-,42.378143,-72.535194,-,-,-,-,42.378284,-72.53536,-,-,42.333958,-72.620476,-,-,42.254154,-72.57413,-,-,-,-,-,-,-,-
9:28,-,-,-,-,-,-,42.37833,-72.53525,-,-,-,-,42.378376,-72.535614,-,-,42.33879,-72.61169,-,-,42.254208,-72.57419,-,-,-,-,-,-,-,-
9:29,-,-,-,-,-,-,42.378002,-72.5347,-,-,-,-,42.378403,-72.535515,-,-,42.33701,-72.60301,-,-,42.25416,-72.57416,-,-,-,-,-,-,-,-
9:30,-,-,-,-,-,-,42.378143,-72.53523,-,-,-,-,42.378555,-72.53575,-,-,42.334396,-72.590294,-,-,42.25423,-72.57425,-,-,-,-,-,-,-,-
9:31,-,-,-,-,-,-,42.37817,-72.53504,-,-,-,-,42.378315,-72.53544,-,-,42.33351,-72.58004,-,-,42.254223,-72.57426,-,-,-,-,-,-,-,-
9:32,-,-,-,-,-,-,-,-,-,-,-,-,42.378403,-72.5356,-,-,42.33076,-72.573685,-,-,42.254185,-72.5742,-,-,-,-,-,-,-,-
9:33,-,-,-,-,-,-,-,-,-,-,-,-,42.378414,-72.53558,-,-,42.330162,-72.563736,-,-,42.254177,-72.57414,-,-,-,-,-,-,-,-
9:34,-,-,-,-,-,-,-,-,-,-,-,-,42.378487,-72.535545,-,-,42.32469,-72.55542,-,-,42.254215,-72.574196,-,-,-,-,-,-,-,-
9:35,-,-,-,-,-,-,-,-,-,-,-,-,42.379387,-72.53626,-,-,42.320133,-72.54491,-,-,42.254196,-72.57426,-,-,-,-,-,-,-,-
