0	8	13	30	1	0
1	11	13	27	1	47
2	8	13	24	1	2
3	11	13	25	1	2
4	8	13	22	1	3
5	11	13	24	1	3
6	8	13	27	1	5
7	11	13	18	1	6
8	8	13	23	1	63
9	11	13	20	1	8
10	8	13	22	1	9
11	11	13	28	1	51
12	8	13	22	1	18
13	8	13	23	1	19
14	8	13	25	1	22
15	8	13	24	1	21
16	8	13	21	1	54
17	8	13	17	1	23
18	8	13	23	1	24
19	8	13	20	1	25
20	8	13	28	1	26
21	8	13	17	1	36
22	8	13	30	1	32
23	8	13	22	1	33
24	8	13	21	1	37
25	8	13	20	1	43
26	8	13	17	10	57
27	11	13	17	10	1
28	8	13	29	10	48
29	8	13	21	10	5
30	11	13	16	10	5
31	8	13	21	10	51
32	11	13	28	10	6
33	8	13	24	10	38
34	11	13	18	10	27
35	8	13	16	10	40
36	8	13	26	10	12
37	8	13	25	10	58
38	8	13	26	10	22
39	8	13	28	10	19
40	8	13	29	10	24
41	8	13	16	10	48
42	8	13	18	10	23
43	8	13	23	10	27
44	8	13	19	10	28
45	8	13	19	10	30
46	8	13	26	10	64
47	8	13	16	10	34
48	8	13	19	10	36
49	8	13	25	10	48
50	11	13	19	25	1
51	8	13	30	25	2
52	8	13	17	25	3
53	11	13	27	25	3
54	8	13	17	25	5
55	8	13	26	25	6
56	8	13	28	25	7
57	11	13	21	25	8
58	11	13	21	25	9
59	8	13	23	25	10
60	8	13	18	25	12
61	8	13	27	25	13
62	8	13	20	25	14
63	8	13	16	25	15
64	8	13	30	25	17
65	8	13	15	25	21
66	8	13	23	25	22
67	8	13	22	25	28
68	8	13	29	25	29
69	8	13	21	25	30
70	8	13	29	25	23
71	8	13	26	25	37
72	8	13	22	50	1
73	11	13	18	50	2
74	8	13	23	50	3
75	8	13	29	50	51
76	11	13	20	50	5
77	11	13	15	50	6
78	8	13	29	50	7
79	11	13	28	50	7
80	11	13	29	50	8
81	11	13	20	50	9
82	8	13	29	50	61
83	8	13	25	50	13
84	8	13	23	50	15
85	8	13	16	50	16
86	8	13	30	50	20
87	8	13	30	50	36
88	8	13	21	50	31
89	8	13	16	50	33
90	8	13	29	50	36
91	8	13	30	50	26
92	8	13	16	50	27
93	8	13	29	50	28
94	8	13	17	50	29
95	8	13	24	50	22
96	8	13	21	50	53
97	8	13	28	50	32
98	8	13	20	50	33
