ID	s	d	TTL	size	genT
0	7	9	27	25	4
1	7	11	23	25	15
2	0	10	29	1	3
3	5	10	27	1	11
4	2	8	21	1	9
5	2	11	20	25	2
6	3	10	29	100	10
7	0	9	25	100	8
8	0	9	23	50	14
9	3	10	25	25	15
10	0	11	28	10	15
11	1	8	21	1	1
12	6	11	25	1	3
13	2	9	29	10	15
14	6	11	30	1	12
15	3	11	24	50	6
16	4	9	21	1	8
17	0	11	21	1	4
18	0	8	22	10	1
19	1	11	20	1	0
20	7	10	25	10	4
21	2	10	21	100	7
22	1	9	20	10	10
23	3	10	28	1	10
24	0	11	20	1	11
25	2	10	23	10	5
26	1	9	20	1	4
27	6	9	28	100	7
28	5	9	29	50	10
29	5	11	28	10	10
30	1	8	26	100	0
31	4	10	24	50	7
32	5	9	28	10	12
33	6	8	25	25	14
34	6	9	25	50	5
35	7	11	30	50	11
36	7	10	30	1	13
37	6	8	24	100	9
38	7	8	25	1	9
39	2	11	22	1	3
40	4	11	26	10	15
41	0	10	21	10	14
42	1	9	30	25	12
43	2	10	27	25	15
44	0	8	24	10	8
45	4	11	26	1	5
46	1	8	23	25	11
47	4	11	24	50	3
48	7	11	25	10	13
49	6	8	25	25	11
50	1	8	28	10	7
51	7	11	30	100	8
52	4	10	30	25	7
53	3	9	23	10	11
54	2	11	29	1	5
55	0	10	29	1	5
56	1	9	29	10	8
57	6	8	23	10	13
58	5	9	29	25	5
59	5	11	29	10	2
60	6	8	30	100	10
61	6	11	25	1	6
62	2	8	30	10	7
63	6	9	26	25	15
64	2	10	25	1	4
65	6	10	26	10	7
66	2	10	22	100	4
67	6	9	25	100	12
68	1	8	25	25	14
69	2	11	25	100	13
70	4	11	30	100	15
71	4	10	27	100	3
72	4	11	23	50	7
73	4	8	25	1	1
74	2	8	25	1	3
75	2	10	24	100	7
76	0	9	21	100	1
77	6	11	27	10	7
78	5	10	20	1	9
79	4	10	23	100	2
80	0	11	22	1	7
81	7	11	23	50	10
82	1	8	29	10	2
83	7	10	30	50	11
84	2	11	30	100	1
85	3	8	27	1	14
86	4	9	21	10	9
87	7	10	22	100	1
88	0	9	28	10	6
89	6	8	28	100	4
90	7	11	21	10	7
91	3	9	29	25	1
92	3	10	27	100	7
93	2	11	26	10	8
94	4	11	29	25	5
95	3	11	23	50	3
96	6	9	25	100	0
97	1	9	25	100	9
98	0	9	30	1	7
99	2	9	25	1	7
