T X Y S0 S1 S2 
4 8052.062 9221.473 5 13 22 
5 8114.424 9276.592 5 17 21 
6 8127.958 9288.557 5 12 27 
7 8114.424 9276.592 4 17 20 
8 8052.062 9221.473 4 15 27 
9 8046.944 9216.947 4 15 20 
10 8052.062 9221.473 5 16 23 
11 8114.424 9276.592 4 12 28 
12 8127.958 9288.557 3 12 20 
13 8114.424 9276.592 5 12 29 
14 8052.062 9221.473 3 14 22 
15 8046.944 9216.947 5 12 24 
16 8052.062 9221.473 4 19 26 
17 8114.424 9276.592 5 14 24 
18 8127.958 9288.557 4 13 22 
19 8114.424 9276.592 5 11 28 
20 8052.062 9221.473 3 13 21 
21 8046.944 9216.947 4 13 27 
22 8052.062 9221.473 4 16 25 
23 8114.424 9276.592 3 19 29 
24 8127.958 9288.557 3 14 24 
25 8114.424 9276.592 4 12 26 
26 8052.062 9221.473 3 12 21 
27 8046.944 9216.947 5 18 20 
28 8052.062 9221.473 3 16 22 
29 8052.062 9221.473 3 11 25 
