T X Y S0 S1 S2 
0 6103.897 7648.209 5 16 28 
1 6089.753 7636.534 4 15 20 
2 6073.437 7623.057 5 16 21 
3 6054.881 7607.734 5 12 27 
4 6008.313 7572.708 5 17 24 
5 5993.93 7562.2 4 19 29 
6 5940.051 7522.693 5 12 20 
7 5931.193 7516.332 5 12 21 
8 5940.051 7522.693 5 16 21 
9 5993.93 7562.2 4 12 20 
10 6008.313 7572.708 4 17 29 
11 6054.881 7607.734 3 14 22 
12 6073.437 7623.057 3 13 22 
13 6089.753 7636.534 5 16 26 
14 6103.897 7648.209 4 16 25 
15 6089.753 7636.534 4 17 26 
16 6073.437 7623.057 3 19 28 
17 6054.881 7607.734 5 12 28 
18 6008.313 7572.708 4 16 23 
19 5993.93 7562.2 4 14 28 
20 5940.051 7522.693 3 19 28 
21 5931.193 7516.332 3 10 21 
22 5940.051 7522.693 5 12 21 
23 5993.93 7562.2 3 15 26 
24 6008.313 7572.708 5 10 25 
25 6054.881 7607.734 5 10 26 
26 6073.437 7623.057 3 16 22 
27 6089.753 7636.534 3 11 20 
28 6103.897 7648.209 3 14 20 
29 6103.897 7648.209 5 15 29 
