T X Y S0 S1 S2 
9 9758.249 8626.614 5 13 27 
10 9772.196 8628.615 3 10 29 
11 9793.464 8631.54 3 18 21 
12 9772.196 8628.615 3 13 22 
13 9758.249 8626.614 5 12 29 
14 9534.631 8590.809 3 15 23 
15 9758.249 8626.614 5 10 28 
16 9772.196 8628.615 3 12 22 
17 9793.464 8631.54 3 12 26 
18 9772.196 8628.615 4 10 27 
19 9758.249 8626.614 3 12 28 
20 9534.631 8590.809 3 13 24 
21 9758.249 8626.614 5 12 21 
22 9772.196 8628.615 3 15 22 
23 9793.464 8631.54 3 16 21 
24 9772.196 8628.615 5 12 29 
25 9758.249 8626.614 4 19 22 
26 9534.631 8590.809 4 19 20 
27 9758.249 8626.614 3 19 21 
28 9772.196 8628.615 4 11 29 
29 9772.196 8628.615 4 17 24 
