T X Y S0 S1 S2 
0 8158.401 9405.423 3 17 21 
1 8158.401 9405.423 4 17 25 
2 8158.401 9405.423 4 16 27 
3 8158.401 9405.423 3 11 23 
4 8158.401 9405.423 5 12 24 
5 8158.401 9405.423 5 19 21 
6 8158.401 9405.423 5 12 25 
7 8158.401 9405.423 4 10 23 
8 8158.401 9405.423 4 12 26 
9 8158.401 9405.423 4 15 26 
10 8158.401 9405.423 4 12 21 
11 8158.401 9405.423 5 18 29 
12 8158.401 9405.423 5 19 23 
13 8158.401 9405.423 5 15 26 
14 8158.401 9405.423 3 18 28 
15 8158.401 9405.423 5 15 27 
16 8158.401 9405.423 4 15 20 
17 8158.401 9405.423 5 18 29 
18 8158.401 9405.423 3 18 28 
19 8158.401 9405.423 5 11 20 
20 8158.401 9405.423 4 15 29 
21 8158.401 9405.423 4 12 21 
22 8158.401 9405.423 5 14 20 
23 8158.401 9405.423 4 14 22 
24 8158.401 9405.423 3 17 25 
25 8158.401 9405.423 5 15 23 
26 8158.401 9405.423 4 10 23 
27 8158.401 9405.423 4 11 28 
28 8158.401 9405.423 3 13 22 
29 8158.401 9405.423 3 10 28 
