T X Y S0 S1 S2 
10 9243.071 8541.216 5 10 27 
11 9202.562 8531.953 5 18 24 
12 9243.071 8541.216 3 13 26 
13 9202.562 8531.953 4 15 26 
14 9243.071 8541.216 5 16 25 
15 9202.562 8531.953 5 16 26 
16 9243.071 8541.216 4 11 20 
17 9202.562 8531.953 4 17 23 
18 9243.071 8541.216 5 11 24 
19 9202.562 8531.953 3 13 29 
20 9243.071 8541.216 4 10 27 
21 9202.562 8531.953 5 16 26 
22 9243.071 8541.216 4 11 22 
23 9202.562 8531.953 3 10 20 
24 9243.071 8541.216 5 16 27 
25 9202.562 8531.953 5 13 25 
26 9243.071 8541.216 5 12 20 
27 9202.562 8531.953 4 15 26 
28 9243.071 8541.216 3 12 26 
29 9243.071 8541.216 5 17 22 
