T X Y S0 S1 S2 
0 3806.654 5724.304 4 10 26 
1 3806.654 5724.304 4 14 28 
2 3806.654 5724.304 5 17 20 
3 3806.654 5724.304 3 11 24 
4 3806.654 5724.304 3 17 28 
5 3806.654 5724.304 4 15 20 
6 3806.654 5724.304 3 11 27 
7 3806.654 5724.304 4 13 21 
8 3806.654 5724.304 4 14 27 
9 3806.654 5724.304 3 18 27 
10 3806.654 5724.304 5 16 21 
11 3806.654 5724.304 3 17 27 
12 3806.654 5724.304 3 19 22 
13 3806.654 5724.304 3 14 26 
14 3806.654 5724.304 3 19 26 
15 3806.654 5724.304 3 16 20 
16 3806.654 5724.304 5 19 21 
17 3806.654 5724.304 5 17 21 
18 3806.654 5724.304 4 12 29 
19 3806.654 5724.304 3 14 27 
20 3806.654 5724.304 5 11 25 
21 3806.654 5724.304 4 19 27 
22 3806.654 5724.304 3 12 25 
23 3806.654 5724.304 3 19 27 
24 3806.654 5724.304 4 15 28 
25 3806.654 5724.304 3 11 22 
26 3806.654 5724.304 5 15 20 
27 3806.654 5724.304 3 17 28 
28 3806.654 5724.304 4 19 28 
29 3806.654 5724.304 5 10 24 
