T X Y S0 S1 S2 
5 6326.965 3660.404 3 16 23 
6 6301.258 3543.527 5 15 20 
7 6326.965 3660.404 4 11 24 
8 6301.258 3543.527 4 11 29 
9 6326.965 3660.404 3 18 22 
10 6301.258 3543.527 3 18 23 
11 6326.965 3660.404 4 14 29 
12 6301.258 3543.527 3 13 25 
13 6326.965 3660.404 5 14 23 
14 6301.258 3543.527 3 10 27 
15 6326.965 3660.404 3 18 25 
16 6301.258 3543.527 5 13 24 
17 6326.965 3660.404 3 11 25 
18 6301.258 3543.527 4 14 28 
19 6326.965 3660.404 4 15 21 
20 6301.258 3543.527 3 11 24 
21 6326.965 3660.404 4 12 24 
22 6301.258 3543.527 3 12 23 
23 6326.965 3660.404 5 14 25 
24 6301.258 3543.527 3 12 29 
25 6326.965 3660.404 4 18 26 
26 6301.258 3543.527 4 17 22 
27 6326.965 3660.404 5 17 20 
28 6301.258 3543.527 3 16 28 
29 6301.258 3543.527 3 17 23 
