T X Y S0 S1 S2 
10 8378.528 9005.277 5 14 26 
11 8383.025 9009.113 5 13 25 
12 8441.501 9061.541 4 14 20 
13 8444.301 9064.054 4 10 25 
14 8451.213 9069.948 3 10 27 
15 8444.301 9064.054 4 10 29 
16 8441.501 9061.541 5 15 21 
17 8383.025 9009.113 5 19 28 
18 8378.528 9005.277 5 15 24 
19 8366.061 8994.647 5 14 22 
20 8378.528 9005.277 3 12 28 
21 8383.025 9009.113 5 18 27 
22 8441.501 9061.541 5 15 22 
23 8444.301 9064.054 4 15 24 
24 8451.213 9069.948 3 14 27 
25 8444.301 9064.054 5 16 27 
26 8441.501 9061.541 5 15 22 
27 8383.025 9009.113 4 19 20 
28 8378.528 9005.277 5 16 25 
29 8378.528 9005.277 3 18 29 
