T X Y S0 S1 S2 
6 8447.522 9074.184 3 15 29 
7 8404.133 9123.989 5 11 22 
8 8377.954 9154.778 4 19 25 
9 8375.902 9157.236 4 15 22 
10 8368.696 9165.375 4 11 22 
11 8344.254 9193.63 3 11 22 
12 8336.863 9202.125 4 13 28 
13 8333.313 9206.206 3 18 25 
14 8330.007 9210.009 3 15 29 
15 8321.17 9220.172 5 16 24 
16 8311.343 9231.47 5 13 25 
17 8289.233 9256.9 5 15 26 
18 8284.727 9262.093 5 16 25 
19 8278.967 9268.586 3 18 21 
20 8252.58 9298.331 3 17 22 
21 8209.747 9346.612 3 11 26 
22 8203.549 9353.606 5 15 22 
23 8209.747 9346.612 3 11 27 
24 8252.58 9298.331 4 12 24 
25 8278.967 9268.586 5 13 24 
26 8284.727 9262.093 4 17 22 
27 8289.233 9256.9 3 17 23 
28 8311.343 9231.47 5 10 28 
29 8311.343 9231.47 3 11 25 
