T X Y S0 S1 S2 
7 11035.027 8579.133 4 14 20 
8 10825.234 8555.894 5 16 28 
9 10769.02 8549.889 5 18 20 
10 10671.301 8540.326 4 13 21 
11 10662.37 8539.437 3 14 20 
12 10546.439 8526.761 5 10 20 
13 10423.679 8512.972 5 16 29 
14 10392.333 8509.414 3 11 21 
15 10347.064 8504.299 5 18 22 
16 10160.032 8484.173 4 15 28 
17 10133.062 8482.394 5 17 28 
18 10104.249 8483.061 3 12 29 
19 10079.026 8484.729 5 17 20 
20 10060.545 8486.842 4 13 22 
21 10041.887 8490.622 4 11 23 
22 10025.068 8494.959 5 13 28 
23 10002.115 8501.631 3 12 24 
24 9981.438 8509.637 5 13 29 
25 9973.509 8512.984 3 10 22 
26 9959.796 8518.755 3 11 24 
27 9942.916 8529.729 3 13 22 
28 9927.982 8539.437 4 16 21 
29 9927.982 8539.437 4 13 28 
