T X Y S0 S1 S2 
7 8556.902 12013.344 5 17 22 
8 8560.715 12024.619 5 11 23 
9 8566.081 12041.243 5 18 23 
10 8560.715 12024.619 5 17 26 
11 8556.902 12013.344 3 15 22 
12 8538.851 11964.218 3 13 22 
13 8556.902 12013.344 3 17 20 
14 8560.715 12024.619 3 17 28 
15 8566.081 12041.243 3 16 24 
16 8560.715 12024.619 3 11 21 
17 8556.902 12013.344 5 14 25 
18 8538.851 11964.218 5 16 29 
19 8556.902 12013.344 3 12 20 
20 8560.715 12024.619 5 14 25 
21 8566.081 12041.243 3 10 21 
22 8560.715 12024.619 5 11 26 
23 8556.902 12013.344 5 18 28 
24 8538.851 11964.218 5 18 29 
25 8556.902 12013.344 4 10 27 
26 8560.715 12024.619 4 10 24 
27 8566.081 12041.243 3 18 29 
28 8560.715 12024.619 5 15 22 
29 8560.715 12024.619 4 10 24 
