T X Y S0 S1 S2 
0 11880.921 8678.542 4 10 22 
1 11880.921 8678.542 5 12 26 
2 11880.921 8678.542 5 19 20 
3 11880.921 8678.542 4 14 23 
4 11880.921 8678.542 3 15 23 
5 11880.921 8678.542 4 15 28 
6 11880.921 8678.542 3 11 22 
7 11880.921 8678.542 5 19 26 
8 11880.921 8678.542 4 10 22 
9 11880.921 8678.542 5 16 24 
10 11880.921 8678.542 5 17 29 
11 11880.921 8678.542 4 16 21 
12 11880.921 8678.542 4 17 20 
13 11880.921 8678.542 3 15 28 
14 11880.921 8678.542 5 19 25 
15 11880.921 8678.542 3 14 23 
16 11880.921 8678.542 5 16 29 
17 11880.921 8678.542 5 14 28 
18 11880.921 8678.542 4 18 25 
19 11880.921 8678.542 4 13 24 
20 11880.921 8678.542 4 11 21 
21 11880.921 8678.542 3 12 24 
22 11880.921 8678.542 3 11 24 
23 11880.921 8678.542 4 10 24 
24 11880.921 8678.542 4 19 23 
25 11880.921 8678.542 4 15 23 
26 11880.921 8678.542 4 14 25 
27 11880.921 8678.542 4 12 27 
28 11880.921 8678.542 4 12 25 
29 11880.921 8678.542 3 19 29 
