T X Y S0 S1 S2 
2 4458.767 9206.262 4 17 26 
3 4663.216 9238.063 4 16 26 
4 4741.93 9250.295 3 12 21 
5 4795.743 9258.512 4 10 24 
6 4855.553 9267.641 4 12 26 
7 4795.743 9258.512 3 10 20 
8 4741.93 9250.295 3 18 24 
9 4663.216 9238.063 5 18 25 
10 4458.767 9206.262 5 14 27 
11 4390.332 9195.709 5 12 29 
12 4458.767 9206.262 3 19 23 
13 4663.216 9238.063 3 14 29 
14 4741.93 9250.295 5 11 20 
15 4795.743 9258.512 3 16 26 
16 4855.553 9267.641 3 16 22 
17 4795.743 9258.512 3 13 27 
18 4741.93 9250.295 4 17 23 
19 4663.216 9238.063 3 11 21 
20 4458.767 9206.262 5 17 20 
21 4390.332 9195.709 4 14 22 
22 4458.767 9206.262 3 10 24 
23 4663.216 9238.063 4 16 25 
24 4741.93 9250.295 3 11 23 
25 4795.743 9258.512 3 15 23 
26 4855.553 9267.641 3 17 29 
27 4795.743 9258.512 3 12 28 
28 4741.93 9250.295 3 10 22 
29 4741.93 9250.295 4 11 23 
