T X Y S0 S1 S2 
3 7069.663 9522.645 5 15 26 
4 6998.367 9516.451 3 15 22 
5 7069.663 9522.645 5 15 26 
6 7133.483 9528.182 5 12 29 
7 7069.663 9522.645 3 15 25 
8 6998.367 9516.451 4 16 27 
9 7069.663 9522.645 3 18 29 
10 7133.483 9528.182 3 18 21 
11 7069.663 9522.645 3 17 28 
12 6998.367 9516.451 5 10 24 
13 7069.663 9522.645 5 19 24 
14 7133.483 9528.182 4 12 21 
15 7069.663 9522.645 4 18 26 
16 6998.367 9516.451 5 12 27 
17 7069.663 9522.645 5 13 27 
18 7133.483 9528.182 5 19 27 
19 7069.663 9522.645 3 13 20 
20 6998.367 9516.451 4 11 25 
21 7069.663 9522.645 3 18 29 
22 7133.483 9528.182 5 14 26 
23 7069.663 9522.645 3 13 27 
24 6998.367 9516.451 4 18 20 
25 7069.663 9522.645 4 16 20 
26 7133.483 9528.182 3 18 29 
27 7069.663 9522.645 4 14 29 
28 6998.367 9516.451 3 17 27 
29 6998.367 9516.451 3 15 28 
