T X Y S0 S1 S2 
4 7207.232 6852.365 3 16 25 
5 7212.349 6870.245 5 19 22 
6 7231.752 6937.196 4 18 26 
7 7233.429 6942.989 3 19 23 
8 7234.494 6946.892 5 19 29 
9 7253.509 7016.822 3 11 20 
10 7254.957 7022.983 3 13 24 
11 7258.482 7037.949 3 10 20 
12 7262.314 7052.794 4 19 25 
13 7285.454 7142.473 5 15 25 
14 7313.531 7243.738 3 17 22 
15 7285.454 7142.473 5 14 20 
16 7262.314 7052.794 5 18 29 
17 7258.482 7037.949 4 12 28 
18 7254.957 7022.983 3 10 29 
19 7253.509 7016.822 3 13 21 
20 7234.494 6946.892 5 16 23 
21 7233.429 6942.989 3 18 22 
22 7231.752 6937.196 4 13 26 
23 7212.349 6870.245 3 17 22 
24 7207.232 6852.365 4 16 24 
25 7195.353 6814.67 4 15 29 
26 7207.232 6852.365 5 15 28 
27 7212.349 6870.245 3 13 21 
28 7231.752 6937.196 3 18 28 
29 7231.752 6937.196 4 15 22 
