T X Y S0 S1 S2 
9 9006.64 8455.707 4 17 25 
10 9006.163 8467.116 3 17 20 
11 9006.669 8469.339 3 17 26 
12 9008.743 8478.369 5 13 26 
13 9015.119 8485.518 4 11 24 
14 9028.698 8496.916 3 13 20 
15 9015.119 8485.518 5 17 21 
16 9008.743 8478.369 5 14 28 
17 9006.669 8469.339 4 14 27 
18 9006.163 8467.116 5 17 25 
19 9006.64 8455.707 5 17 24 
20 9007.796 8447.757 4 13 26 
21 9006.64 8455.707 5 15 22 
22 9006.163 8467.116 3 12 27 
23 9006.669 8469.339 5 14 23 
24 9008.743 8478.369 3 14 27 
25 9015.119 8485.518 4 10 21 
26 9028.698 8496.916 3 16 21 
27 9015.119 8485.518 4 10 28 
28 9008.743 8478.369 5 17 21 
29 9008.743 8478.369 5 12 29 
