T X Y S0 S1 S2 
7 10505.957 11393.477 3 14 24 
8 10355.903 11261.044 5 18 24 
9 10270.736 11181.984 4 10 22 
10 10355.903 11261.044 5 15 24 
11 10505.957 11393.477 3 17 22 
12 10557.106 11442.736 3 19 21 
13 10505.957 11393.477 5 12 21 
14 10355.903 11261.044 4 12 24 
15 10270.736 11181.984 4 11 26 
16 10355.903 11261.044 4 16 21 
17 10505.957 11393.477 5 15 20 
18 10557.106 11442.736 4 13 21 
19 10505.957 11393.477 5 12 22 
20 10355.903 11261.044 3 13 22 
21 10270.736 11181.984 5 14 29 
22 10355.903 11261.044 4 10 24 
23 10505.957 11393.477 4 18 22 
24 10557.106 11442.736 4 19 23 
25 10505.957 11393.477 5 16 24 
26 10355.903 11261.044 3 15 29 
27 10270.736 11181.984 4 12 22 
28 10355.903 11261.044 4 12 21 
29 10355.903 11261.044 5 19 29 
