T X Y S0 S1 S2 
6 8303.578 8928.664 4 18 21 
7 8299.685 8933.289 5 11 29 
8 8303.578 8928.664 5 11 29 
9 8321.569 8907.314 3 10 26 
10 8303.578 8928.664 5 10 26 
11 8299.685 8933.289 5 18 28 
12 8303.578 8928.664 5 13 28 
13 8321.569 8907.314 5 15 20 
14 8303.578 8928.664 5 13 23 
15 8299.685 8933.289 4 19 26 
16 8303.578 8928.664 5 15 22 
17 8321.569 8907.314 3 18 20 
18 8303.578 8928.664 3 10 25 
19 8299.685 8933.289 4 17 23 
20 8303.578 8928.664 5 13 22 
21 8321.569 8907.314 3 12 22 
22 8303.578 8928.664 3 18 26 
23 8299.685 8933.289 4 16 21 
24 8303.578 8928.664 3 15 28 
25 8321.569 8907.314 4 12 23 
26 8303.578 8928.664 5 14 24 
27 8299.685 8933.289 5 12 29 
28 8303.578 8928.664 3 16 25 
29 8303.578 8928.664 4 16 22 
