T X Y S0 S1 S2 
0 3755.318 5706.557 3 16 22 
1 3755.318 5706.557 3 11 27 
2 3755.318 5706.557 3 16 28 
3 3755.318 5706.557 3 19 29 
4 3755.318 5706.557 3 16 24 
5 3755.318 5706.557 3 19 29 
6 3755.318 5706.557 5 11 24 
7 3755.318 5706.557 3 15 23 
8 3755.318 5706.557 3 14 24 
9 3755.318 5706.557 5 17 26 
10 3755.318 5706.557 5 11 22 
11 3755.318 5706.557 4 15 26 
12 3755.318 5706.557 3 14 26 
13 3755.318 5706.557 4 14 27 
14 3755.318 5706.557 3 11 24 
15 3755.318 5706.557 3 14 22 
16 3755.318 5706.557 3 14 28 
17 3755.318 5706.557 5 10 22 
18 3755.318 5706.557 4 17 24 
19 3755.318 5706.557 5 10 28 
20 3755.318 5706.557 4 15 23 
21 3755.318 5706.557 5 12 24 
22 3755.318 5706.557 5 12 29 
23 3755.318 5706.557 4 18 21 
24 3755.318 5706.557 5 12 26 
25 3755.318 5706.557 4 15 27 
26 3755.318 5706.557 5 14 21 
27 3755.318 5706.557 4 18 27 
28 3755.318 5706.557 3 18 22 
29 3755.318 5706.557 5 19 23 
