T X Y S0 S1 S2 
4 7549.8 8789.725 4 17 28 
5 7548.929 8794.574 3 12 27 
6 7523.277 8826.042 3 18 29 
7 7510.461 8839.952 5 19 22 
8 7486.439 8870.308 4 12 25 
9 7473.568 8887.054 4 16 26 
10 7460.959 8905.88 3 15 26 
11 7451.6 8922.036 5 10 27 
12 7443.266 8938.615 4 13 26 
13 7430.902 8966.314 4 14 26 
14 7418.389 9004.354 3 10 29 
15 7415.58 9012.071 5 19 29 
16 7401.726 9050.945 3 18 20 
17 7383.84 9094.978 5 11 22 
18 7376.949 9114.326 5 15 28 
19 7371.495 9131.672 5 10 25 
20 7358.133 9169.879 4 17 22 
21 7338.251 9223.408 4 10 25 
22 7329.869 9245.291 3 18 25 
23 7322.605 9270.143 4 16 28 
24 7318.54 9300.766 4 14 26 
25 7317.556 9324.228 3 15 27 
26 7317.062 9357.476 4 10 24 
27 7317.622 9386.987 4 16 23 
28 7318.999 9414.029 5 17 25 
29 7318.999 9414.029 5 15 21 
