T X Y S0 S1 S2 
10 6132.608 7647.009 5 13 25 
11 6148.731 7658.884 4 15 23 
12 6154.57 7663.354 3 15 28 
13 6162.658 7669.548 5 12 25 
14 6188.9 7689.641 5 19 29 
15 6250.53 7736.832 5 16 24 
16 6293.332 7770.079 3 11 20 
17 6356.002 7819.005 5 14 26 
18 6435.562 7883.62 4 12 28 
19 6445.277 7891.504 4 17 27 
20 6486.063 7924.418 4 14 21 
21 6487.682 7925.719 4 10 24 
22 6510.044 7943.654 5 12 23 
23 6566.146 7988.8 5 15 26 
24 6593.798 8017.265 5 18 27 
25 6566.146 7988.8 4 14 27 
26 6510.044 7943.654 5 19 20 
27 6487.682 7925.719 4 14 22 
28 6486.063 7924.418 5 10 28 
29 6486.063 7924.418 3 14 20 
