T X Y S0 S1 S2 
1 6606.944 10810.704 3 17 29 
2 6568.75 10839.837 5 14 22 
3 6518.64 10879.423 4 13 22 
4 6493.059 10900.661 3 13 29 
5 6475.188 10915.45 4 15 29 
6 6396.01 10982.645 3 11 20 
7 6387.933 10989.506 3 12 25 
8 6396.01 10982.645 4 19 20 
9 6475.188 10915.45 5 18 26 
10 6493.059 10900.661 3 18 29 
11 6518.64 10879.423 3 12 29 
12 6568.75 10839.837 4 17 26 
13 6606.944 10810.704 5 13 22 
14 6678.096 10756.219 3 14 25 
15 6606.944 10810.704 4 13 22 
16 6568.75 10839.837 5 15 29 
17 6518.64 10879.423 4 10 29 
18 6493.059 10900.661 5 11 28 
19 6475.188 10915.45 3 12 23 
20 6396.01 10982.645 5 12 20 
21 6387.933 10989.506 3 17 29 
22 6396.01 10982.645 4 18 26 
23 6475.188 10915.45 3 13 25 
24 6493.059 10900.661 3 15 21 
25 6518.64 10879.423 3 17 21 
26 6568.75 10839.837 5 18 21 
27 6606.944 10810.704 3 10 28 
28 6678.096 10756.219 5 16 22 
29 6678.096 10756.219 4 12 20 
