T X Y S0 S1 S2 
0 5938.246 11377.665 5 16 21 
1 5938.246 11377.665 5 18 20 
2 5938.246 11377.665 5 15 26 
3 5938.246 11377.665 3 15 20 
4 5938.246 11377.665 5 11 27 
5 5938.246 11377.665 3 19 20 
6 5938.246 11377.665 3 14 23 
7 5938.246 11377.665 5 15 20 
8 5938.246 11377.665 3 18 25 
9 5938.246 11377.665 3 19 23 
10 5938.246 11377.665 4 10 27 
11 5938.246 11377.665 3 14 25 
12 5938.246 11377.665 4 13 28 
13 5938.246 11377.665 5 19 26 
14 5938.246 11377.665 4 14 27 
15 5938.246 11377.665 5 18 22 
16 5938.246 11377.665 3 18 24 
17 5938.246 11377.665 3 17 29 
18 5938.246 11377.665 4 18 25 
19 5938.246 11377.665 5 19 27 
20 5938.246 11377.665 3 13 20 
21 5938.246 11377.665 4 16 27 
22 5938.246 11377.665 3 15 26 
23 5938.246 11377.665 4 16 25 
24 5938.246 11377.665 3 15 23 
25 5938.246 11377.665 4 12 29 
26 5938.246 11377.665 3 15 22 
27 5938.246 11377.665 4 13 24 
28 5938.246 11377.665 3 12 20 
29 5938.246 11377.665 4 17 25 
