T X Y S0 S1 S2 
2 8011.294 10295.538 3 17 28 
3 8006.311 10287.532 4 17 26 
4 8003.426 10282.862 3 19 21 
5 7995.644 10272.41 4 15 20 
6 7980.428 10254.285 4 15 25 
7 7899.161 10180.118 4 15 26 
8 7980.428 10254.285 3 18 25 
9 7995.644 10272.41 4 17 25 
10 8003.426 10282.862 5 17 21 
11 8006.311 10287.532 5 18 25 
12 8011.294 10295.538 3 14 26 
13 8032.961 10342.574 4 18 20 
14 8011.294 10295.538 3 17 26 
15 8006.311 10287.532 4 11 27 
16 8003.426 10282.862 5 12 25 
17 7995.644 10272.41 5 19 26 
18 7980.428 10254.285 4 18 21 
19 7899.161 10180.118 5 11 22 
20 7980.428 10254.285 5 17 26 
21 7995.644 10272.41 4 18 28 
22 8003.426 10282.862 3 12 27 
23 8006.311 10287.532 3 18 29 
24 8011.294 10295.538 5 16 22 
25 8032.961 10342.574 5 14 25 
26 8011.294 10295.538 4 18 21 
27 8006.311 10287.532 3 11 20 
28 8003.426 10282.862 3 13 24 
29 8003.426 10282.862 5 10 29 
