T X Y S0 S1 S2 
10 8194.169 9364.325 5 12 27 
11 8158.401 9405.423 3 15 29 
12 8194.169 9364.325 4 10 24 
13 8203.549 9353.606 3 19 20 
14 8194.169 9364.325 5 16 21 
15 8158.401 9405.423 3 14 27 
16 8194.169 9364.325 4 18 22 
17 8203.549 9353.606 5 13 23 
18 8194.169 9364.325 4 16 26 
19 8158.401 9405.423 5 19 20 
20 8194.169 9364.325 4 14 26 
21 8203.549 9353.606 3 18 22 
22 8194.169 9364.325 5 12 20 
23 8158.401 9405.423 5 14 24 
24 8194.169 9364.325 4 16 27 
25 8203.549 9353.606 3 12 25 
26 8194.169 9364.325 4 11 23 
27 8158.401 9405.423 4 19 29 
28 8194.169 9364.325 3 11 27 
29 8194.169 9364.325 3 13 26 
