T X Y S0 S1 S2 
3 2897.49 9044.873 3 16 26 
4 2837.017 9040.926 4 11 29 
5 2647.133 9021.1 3 12 25 
6 2489.823 9004.676 5 13 25 
7 2647.133 9021.1 3 16 24 
8 2837.017 9040.926 3 18 23 
9 2897.49 9044.873 5 14 20 
10 2937.57 9044.929 3 14 28 
11 2897.49 9044.873 4 16 28 
12 2837.017 9040.926 4 10 25 
13 2647.133 9021.1 3 10 24 
14 2489.823 9004.676 3 15 23 
15 2647.133 9021.1 4 14 28 
16 2837.017 9040.926 4 17 27 
17 2897.49 9044.873 4 15 20 
18 2937.57 9044.929 4 12 23 
19 2897.49 9044.873 5 13 24 
20 2837.017 9040.926 5 10 27 
21 2647.133 9021.1 5 13 21 
22 2489.823 9004.676 3 18 23 
23 2647.133 9021.1 3 15 29 
24 2837.017 9040.926 4 14 24 
25 2897.49 9044.873 5 17 20 
26 2937.57 9044.929 4 18 25 
27 2897.49 9044.873 4 14 25 
28 2837.017 9040.926 5 18 22 
29 2837.017 9040.926 4 18 20 
