T X Y S0 S1 S2 
4 8779.285 9872.086 4 13 28 
5 8858.599 9941.749 5 19 23 
6 8950.394 10022.355 5 11 21 
7 8954.846 10026.269 5 17 27 
8 9021.71 10084.991 5 15 22 
9 9141.281 10190.003 5 17 24 
10 9233.866 10271.309 4 16 22 
11 9244.607 10280.749 4 12 22 
12 9325.435 10351.736 3 19 25 
13 9400.707 10417.842 5 17 27 
14 9464.555 10473.917 4 19 21 
15 9562.749 10560.16 5 13 26 
16 9663.818 10648.916 3 13 21 
17 9852.551 10814.685 4 14 24 
18 9930.333 10883.003 3 16 23 
19 10009.242 10952.3 5 17 28 
20 10088.15 11021.608 4 17 20 
21 10181.73 11103.803 5 15 21 
22 10261.177 11173.589 3 18 29 
23 10270.736 11181.984 4 15 22 
24 10261.177 11173.589 4 18 21 
25 10181.73 11103.803 5 17 20 
26 10088.15 11021.608 3 10 23 
27 10009.242 10952.3 3 14 25 
28 9930.333 10883.003 4 11 26 
29 9930.333 10883.003 5 16 20 
