T X Y S0 S1 S2 
10 8810.905 8664.309 5 11 20 
11 8805.119 8670.102 3 15 27 
12 8799.973 8675.929 4 19 23 
13 8781.454 8697.678 5 15 28 
14 8767.925 8713.579 5 19 20 
15 8764.698 8717.36 4 14 24 
16 8761.401 8721.24 3 12 20 
17 8756.833 8726.311 5 13 27 
18 8744.26 8740.288 4 16 20 
19 8722.158 8764.851 4 18 21 
20 8715.766 8771.956 5 14 29 
21 8710.374 8777.95 3 14 28 
22 8693.769 8796.375 5 13 23 
23 8665.985 8827.198 4 14 28 
24 8664.328 8829.022 4 17 22 
25 8659.436 8834.437 4 18 22 
26 8655.008 8839.318 3 14 23 
27 8631.591 8865.127 5 19 24 
28 8616.993 8881.161 4 17 24 
29 8616.993 8881.161 5 14 24 
