T X Y S0 S1 S2 
7 7672.205 12189.232 3 18 24 
8 7691.575 12117.134 4 15 26 
9 7672.205 12189.232 4 14 27 
10 7691.575 12117.134 5 18 25 
11 7672.205 12189.232 4 13 23 
12 7691.575 12117.134 4 19 23 
13 7672.205 12189.232 5 15 26 
14 7691.575 12117.134 4 19 29 
15 7672.205 12189.232 4 16 23 
16 7691.575 12117.134 3 16 25 
17 7672.205 12189.232 5 15 21 
18 7691.575 12117.134 4 19 22 
19 7672.205 12189.232 3 14 29 
20 7691.575 12117.134 4 15 22 
21 7672.205 12189.232 5 19 28 
22 7691.575 12117.134 3 13 25 
23 7672.205 12189.232 4 19 21 
24 7691.575 12117.134 3 13 26 
25 7672.205 12189.232 4 11 29 
26 7691.575 12117.134 3 18 21 
27 7672.205 12189.232 5 19 23 
28 7691.575 12117.134 3 10 21 
29 7691.575 12117.134 4 16 21 
