T X Y S0 S1 S2 
0 11980.756 8676.095 5 18 22 
1 11980.756 8676.095 3 13 26 
2 11980.756 8676.095 4 14 24 
3 11980.756 8676.095 5 10 28 
4 11980.756 8676.095 5 19 21 
5 11980.756 8676.095 5 15 29 
6 11980.756 8676.095 3 19 27 
7 11980.756 8676.095 4 10 22 
8 11980.756 8676.095 3 17 24 
9 11980.756 8676.095 4 15 28 
10 11980.756 8676.095 5 12 24 
11 11980.756 8676.095 5 14 24 
12 11980.756 8676.095 3 10 27 
13 11980.756 8676.095 3 11 20 
14 11980.756 8676.095 5 15 22 
15 11980.756 8676.095 5 14 29 
16 11980.756 8676.095 3 14 24 
17 11980.756 8676.095 3 10 22 
18 11980.756 8676.095 4 19 29 
19 11980.756 8676.095 3 14 21 
20 11980.756 8676.095 5 14 20 
21 11980.756 8676.095 4 15 26 
22 11980.756 8676.095 5 15 29 
23 11980.756 8676.095 3 17 27 
24 11980.756 8676.095 5 14 28 
25 11980.756 8676.095 5 11 22 
26 11980.756 8676.095 5 10 24 
27 11980.756 8676.095 4 13 24 
28 11980.756 8676.095 5 13 26 
29 11980.756 8676.095 3 11 20 
