T X Y S0 S1 S2 
5 8088.751 8728.98 5 14 26 
6 8115.043 8699.68 5 17 22 
7 8159.535 8650.098 5 13 21 
8 8198.916 8606.209 3 19 26 
9 8203.87 8600.705 3 17 27 
10 8208.174 8595.913 4 13 24 
11 8230.285 8571.272 3 19 24 
12 8248.055 8552.38 3 13 27 
13 8266.406 8531.197 5 14 21 
14 8270.939 8525.982 3 16 20 
15 8274.182 8522.368 5 18 22 
16 8337.307 8452.038 3 13 21 
17 8349.871 8437.504 3 11 29 
18 8365.592 8419.313 3 13 27 
19 8370.187 8414.009 4 12 29 
20 8372.554 8411.34 3 10 21 
21 8442.292 8332.881 5 15 28 
22 8447.079 8327.499 3 14 27 
23 8442.292 8332.881 5 15 28 
24 8372.554 8411.34 5 16 20 
25 8370.187 8414.009 3 17 28 
26 8365.592 8419.313 3 13 25 
27 8349.871 8437.504 5 12 24 
28 8337.307 8452.038 5 18 24 
29 8337.307 8452.038 3 10 22 
