T X Y S0 S1 S2 
0 5090.933 12101.344 3 11 27 
1 5090.933 12101.344 5 14 27 
2 5090.933 12101.344 5 19 22 
3 5090.933 12101.344 5 17 28 
4 5090.933 12101.344 5 15 20 
5 5090.933 12101.344 4 17 28 
6 5090.933 12101.344 5 12 25 
7 5090.933 12101.344 4 12 23 
8 5090.933 12101.344 3 15 28 
9 5090.933 12101.344 3 14 24 
10 5090.933 12101.344 3 13 24 
11 5090.933 12101.344 3 19 29 
12 5090.933 12101.344 4 17 22 
13 5090.933 12101.344 5 15 24 
14 5090.933 12101.344 4 14 29 
15 5090.933 12101.344 4 17 29 
16 5090.933 12101.344 5 14 23 
17 5090.933 12101.344 3 11 23 
18 5090.933 12101.344 4 17 22 
19 5090.933 12101.344 3 18 23 
20 5090.933 12101.344 5 10 22 
21 5090.933 12101.344 4 13 29 
22 5090.933 12101.344 4 19 21 
23 5090.933 12101.344 5 12 27 
24 5090.933 12101.344 3 15 24 
25 5090.933 12101.344 3 18 24 
26 5090.933 12101.344 4 19 21 
27 5090.933 12101.344 4 13 25 
28 5090.933 12101.344 4 17 20 
29 5090.933 12101.344 5 18 23 
