T X Y S0 S1 S2 
6 7365.816 9621.119 3 16 22 
7 7347.285 9595.044 5 12 20 
8 7333.284 9565.577 5 16 27 
9 7331.528 9561.385 5 16 23 
10 7333.284 9565.577 3 14 29 
11 7347.285 9595.044 3 10 21 
12 7365.816 9621.119 3 16 23 
13 7375.812 9634.318 5 13 20 
14 7365.816 9621.119 3 13 28 
15 7347.285 9595.044 3 11 28 
16 7333.284 9565.577 3 14 25 
17 7331.528 9561.385 3 12 22 
18 7333.284 9565.577 4 15 25 
19 7347.285 9595.044 5 14 29 
20 7365.816 9621.119 5 19 27 
21 7375.812 9634.318 5 15 20 
22 7365.816 9621.119 3 10 26 
23 7347.285 9595.044 3 12 22 
24 7333.284 9565.577 4 16 23 
25 7331.528 9561.385 4 10 25 
26 7333.284 9565.577 5 14 25 
27 7347.285 9595.044 5 12 26 
28 7365.816 9621.119 4 16 23 
29 7365.816 9621.119 5 14 22 
