T X Y S0 S1 S2 
2 8862.373 7890.381 5 10 25 
3 8861.609 7891.949 3 14 27 
4 8822.168 7992.102 5 15 29 
5 8818.385 8000.664 4 18 27 
6 8815.758 8008.036 5 18 28 
7 8803.29 8045.731 5 14 22 
8 8775.325 8144.539 3 10 26 
9 8773.048 8152.034 5 11 26 
10 8768.477 8167.879 4 16 28 
11 8757.77 8204.951 3 10 20 
12 8747.978 8238.866 5 14 22 
13 8734.142 8286.791 3 12 23 
14 8732.788 8291.472 4 19 26 
15 8731.61 8295.786 5 19 22 
16 8719.697 8339.453 5 11 28 
17 8715.556 8354.631 3 13 25 
18 8714.44 8358.512 4 17 24 
19 8708.612 8378.76 4 11 28 
20 8703.688 8396.774 4 11 25 
21 8701.842 8403.368 4 12 25 
22 8701.394 8405.002 4 15 20 
23 8695.635 8426.229 5 14 27 
24 8691.591 8441.007 5 18 24 
25 8687.731 8455.129 4 17 24 
26 8682.14 8475.566 3 19 21 
27 8677.744 8491.667 5 10 22 
28 8675.379 8500.296 3 11 25 
29 8675.379 8500.296 3 18 28 
