T X Y S0 S1 S2 
0 7870.646 8974.098 5 14 27 
1 7870.646 8974.098 4 19 27 
2 7870.646 8974.098 5 11 28 
3 7870.646 8974.098 4 14 20 
4 7870.646 8974.098 3 16 26 
5 7870.646 8974.098 3 16 20 
6 7870.646 8974.098 4 16 27 
7 7870.646 8974.098 4 17 25 
8 7870.646 8974.098 4 10 29 
9 7870.646 8974.098 4 10 25 
10 7870.646 8974.098 5 13 21 
11 7870.646 8974.098 3 17 20 
12 7870.646 8974.098 3 16 28 
13 7870.646 8974.098 4 12 20 
14 7870.646 8974.098 5 18 21 
15 7870.646 8974.098 3 14 24 
16 7870.646 8974.098 3 18 22 
17 7870.646 8974.098 5 16 28 
18 7870.646 8974.098 5 19 26 
19 7870.646 8974.098 3 19 24 
20 7870.646 8974.098 4 16 21 
21 7870.646 8974.098 3 16 28 
22 7870.646 8974.098 5 12 22 
23 7870.646 8974.098 4 17 25 
24 7870.646 8974.098 3 11 24 
25 7870.646 8974.098 4 11 25 
26 7870.646 8974.098 4 12 25 
27 7870.646 8974.098 5 10 21 
28 7870.646 8974.098 3 13 20 
29 7870.646 8974.098 3 19 24 
