T X Y S0 S1 S2 
8 8861.117 7861.481 4 18 21 
9 8867.553 7854.109 3 10 29 
10 8871.464 7849.583 3 15 20 
11 8888.569 7824.898 3 10 20 
12 8871.464 7849.583 5 11 25 
13 8867.553 7854.109 5 14 22 
14 8861.117 7861.481 4 18 25 
15 8852.61 7872.045 4 11 24 
16 8861.117 7861.481 4 10 26 
17 8867.553 7854.109 3 11 28 
18 8871.464 7849.583 4 12 23 
19 8888.569 7824.898 4 14 24 
20 8871.464 7849.583 3 14 20 
21 8867.553 7854.109 5 10 20 
22 8861.117 7861.481 5 10 25 
23 8852.61 7872.045 5 19 29 
24 8861.117 7861.481 4 13 29 
25 8867.553 7854.109 3 13 29 
26 8871.464 7849.583 3 14 22 
27 8888.569 7824.898 3 12 20 
28 8871.464 7849.583 4 14 21 
29 8871.464 7849.583 3 18 29 
