T X Y S0 S1 S2 
9 9095.636 8507.524 3 16 29 
10 9159.881 8522.202 4 17 22 
11 9095.636 8507.524 5 11 27 
12 9028.698 8496.916 4 19 20 
13 9095.636 8507.524 5 15 28 
14 9159.881 8522.202 4 14 28 
15 9095.636 8507.524 4 11 20 
16 9028.698 8496.916 5 18 24 
17 9095.636 8507.524 3 18 24 
18 9159.881 8522.202 4 10 21 
19 9095.636 8507.524 4 12 25 
20 9028.698 8496.916 4 14 24 
21 9095.636 8507.524 3 11 29 
22 9159.881 8522.202 5 16 28 
23 9095.636 8507.524 5 12 22 
24 9028.698 8496.916 5 11 23 
25 9095.636 8507.524 4 17 23 
26 9159.881 8522.202 4 18 23 
27 9095.636 8507.524 4 10 26 
28 9028.698 8496.916 4 12 27 
29 9028.698 8496.916 5 16 29 
