ID	s	d	ts	te	LLC	ELC
----------------------------------------------------
121	5	6	0	0	1	1.0
83	3	7	0	0	1	1.0
180	7	8	0	0	1	1.0
84	3	8	0	0	1	1.0
184	8	9	0	0	1	0.42
181	7	9	0	0	1	0.42
85	3	9	0	0	1	0.42
41	1	21	0	0	1	1.0
521	21	34	0	0	1	1.0
52	1	34	0	0	1	1.0
866	34	39	0	0	1	1.0
525	21	39	0	0	1	1.0
56	1	39	0	0	1	1.0
962	39	1	0	1	1	1.0
837	34	1	0	1	1	1.0
496	21	1	0	1	1	1.0
185	9	3	0	1	1	0.42
182	8	3	0	1	1	1.0
179	7	3	0	1	1	1.0
28	1	4	0	1	2	2.0
498	21	4	0	1	2	2.0
839	34	4	0	1	2	2.0
152	6	5	0	1	1	1.0
1113	5	6	1	1	1	1.0
1075	3	7	1	1	1	1.0
186	9	7	0	1	1	0.42
183	8	7	0	1	1	1.0
1172	7	8	1	1	1	1.0
1076	3	8	1	1	1	1.0
187	9	8	0	1	1	0.42
1176	8	9	1	1	1	0.42
1173	7	9	1	1	1	0.42
1077	3	9	1	1	1	0.42
977	39	21	0	1	1	1.0
852	34	21	0	1	1	1.0
862	34	33	0	1	3	3.0
520	21	33	0	1	3	3.0
51	1	33	0	1	3	3.0
988	39	34	0	1	1	1.0
1517	21	39	1	1	1	1.0
116	4	39	0	1	2	1.0
1108	4	39	1	1	2	1.0
1177	9	3	1	2	1	0.42
1174	8	3	1	2	1	1.0
1171	7	3	1	2	1	1.0
964	39	4	0	2	2	1.0
1956	39	4	1	2	2	1.0
1144	6	5	1	2	1	1.0
2105	5	6	2	2	1	1.0
2067	3	7	2	2	1	1.0
1178	9	7	1	2	1	0.42
1175	8	7	1	2	1	1.0
2164	7	8	2	2	1	1.0
2068	3	8	2	2	1	1.0
1179	9	8	1	2	1	0.42
2168	8	9	2	2	1	0.42
2165	7	9	2	2	1	0.42
2069	3	9	2	2	1	0.42
36	1	15	0	2	3	0.25
506	21	15	0	2	3	1.25
847	34	15	0	2	3	1.25
972	39	15	0	2	3	1.25
1028	1	15	1	2	3	0.25
2020	1	15	2	2	3	0.25
100	4	20	0	2	3	1.0
1092	4	20	1	2	3	1.0
