T X Y S0 S1 S2 S3 
0 10826.993 6441.633 5 12 26 59 
1 10826.993 6441.633 5 18 20 41 
2 10826.993 6441.633 4 15 23 49 
3 10826.993 6441.633 3 10 28 54 
4 10826.993 6441.633 3 15 25 55 
5 10826.993 6441.633 4 10 23 52 
6 10826.993 6441.633 5 8 27 41 
7 10826.993 6441.633 4 9 27 41 
8 10826.993 6441.633 3 16 22 53 
9 10826.993 6441.633 4 18 24 57 
10 10826.993 6441.633 4 19 23 52 
11 10826.993 6441.633 4 12 28 49 
12 10826.993 6441.633 5 18 22 51 
13 10826.993 6441.633 3 13 29 59 
14 10826.993 6441.633 5 14 22 52 
15 10826.993 6441.633 4 16 22 53 
16 10826.993 6441.633 4 9 28 54 
17 10826.993 6441.633 4 18 20 42 
18 10826.993 6441.633 5 12 21 57 
19 10826.993 6441.633 5 13 29 44 
20 10826.993 6441.633 3 11 21 48 
21 10826.993 6441.633 4 9 22 51 
22 10826.993 6441.633 3 9 20 46 
23 10826.993 6441.633 4 16 22 40 
24 10826.993 6441.633 3 12 20 47 
25 10826.993 6441.633 5 19 24 47 
26 10826.993 6441.633 4 17 20 59 
27 10826.993 6441.633 4 16 21 52 
28 10826.993 6441.633 3 17 22 52 
29 10826.993 6441.633 3 18 20 46 
30 10826.993 6441.633 4 14 20 49 
31 10826.993 6441.633 4 17 26 45 
32 10826.993 6441.633 5 14 27 53 
33 10826.993 6441.633 3 12 20 53 
34 10826.993 6441.633 5 12 25 59 
35 10826.993 6441.633 5 14 22 42 
36 10826.993 6441.633 4 16 23 53 
37 10826.993 6441.633 4 9 20 40 
38 10826.993 6441.633 4 18 21 54 
39 10826.993 6441.633 4 10 22 53 
40 10826.993 6441.633 4 14 25 57 
41 10826.993 6441.633 4 13 20 50 
42 10826.993 6441.633 5 8 24 58 
43 10826.993 6441.633 3 11 29 57 
44 10826.993 6441.633 3 16 21 41 
45 10826.993 6441.633 3 8 23 46 
46 10826.993 6441.633 3 19 28 46 
47 10826.993 6441.633 5 17 23 55 
48 10826.993 6441.633 4 8 25 41 
49 10826.993 6441.633 5 8 22 50 
50 10826.993 6441.633 3 8 20 48 
51 10826.993 6441.633 4 8 26 48 
52 10826.993 6441.633 4 16 25 40 
53 10826.993 6441.633 4 19 22 58 
54 10826.993 6441.633 4 11 26 41 
55 10826.993 6441.633 5 13 24 49 
56 10826.993 6441.633 3 9 22 50 
57 10826.993 6441.633 3 15 20 49 
58 10826.993 6441.633 4 8 24 51 
59 10826.993 6441.633 5 12 22 53 
