T X Y S0 S1 S2 S3 
0 4199.441 6063.015 5 19 20 40 
1 4199.441 6063.015 3 15 27 44 
2 4199.441 6063.015 5 12 21 41 
3 4199.441 6063.015 3 19 24 58 
4 4199.441 6063.015 5 9 21 47 
5 4199.441 6063.015 3 19 22 56 
6 4199.441 6063.015 5 8 24 49 
7 4199.441 6063.015 5 15 28 46 
8 4199.441 6063.015 5 12 23 58 
9 4199.441 6063.015 5 8 26 46 
10 4199.441 6063.015 3 18 23 54 
11 4199.441 6063.015 5 18 23 45 
12 4199.441 6063.015 5 10 23 49 
13 4199.441 6063.015 3 11 20 48 
14 4199.441 6063.015 4 19 22 47 
15 4199.441 6063.015 3 10 26 57 
16 4199.441 6063.015 4 18 28 50 
17 4199.441 6063.015 4 13 20 42 
18 4199.441 6063.015 5 9 22 47 
19 4199.441 6063.015 4 15 23 49 
20 4199.441 6063.015 4 13 20 59 
21 4199.441 6063.015 3 10 26 56 
22 4199.441 6063.015 3 18 29 42 
23 4199.441 6063.015 4 15 28 42 
24 4199.441 6063.015 3 12 21 52 
25 4199.441 6063.015 5 10 24 45 
26 4199.441 6063.015 5 15 22 47 
27 4199.441 6063.015 3 17 23 43 
28 4199.441 6063.015 3 12 26 55 
29 4199.441 6063.015 5 10 26 49 
30 4199.441 6063.015 4 12 20 45 
31 4199.441 6063.015 5 18 22 49 
32 4199.441 6063.015 5 16 28 51 
33 4199.441 6063.015 5 13 22 40 
34 4199.441 6063.015 5 8 20 55 
35 4199.441 6063.015 3 12 26 44 
36 4199.441 6063.015 3 10 26 41 
37 4199.441 6063.015 5 16 29 44 
38 4199.441 6063.015 3 16 23 52 
39 4199.441 6063.015 5 13 28 53 
40 4199.441 6063.015 5 18 25 58 
41 4199.441 6063.015 5 14 24 59 
42 4199.441 6063.015 5 12 21 55 
43 4199.441 6063.015 4 15 22 54 
44 4199.441 6063.015 4 9 20 50 
45 4199.441 6063.015 5 12 26 43 
46 4199.441 6063.015 3 19 26 50 
47 4199.441 6063.015 5 12 25 59 
48 4199.441 6063.015 5 12 27 46 
49 4199.441 6063.015 4 19 27 48 
50 4199.441 6063.015 4 14 27 58 
51 4199.441 6063.015 5 13 28 55 
52 4199.441 6063.015 5 19 26 51 
53 4199.441 6063.015 4 12 29 43 
54 4199.441 6063.015 3 14 26 54 
55 4199.441 6063.015 3 15 21 47 
56 4199.441 6063.015 5 10 27 47 
57 4199.441 6063.015 3 9 21 52 
58 4199.441 6063.015 4 15 24 51 
59 4199.441 6063.015 4 15 27 44 
