T X Y S0 S1 S2 S3 
0 7552.693 8776.949 3 11 23 48 
1 7549.8 8789.725 5 12 21 55 
2 7548.929 8794.574 5 13 21 50 
3 7523.277 8826.042 4 18 20 44 
4 7510.461 8839.952 4 12 26 49 
5 7486.439 8870.308 3 19 20 41 
6 7473.568 8887.054 4 17 28 44 
7 7460.959 8905.88 3 8 22 51 
8 7451.6 8922.036 4 10 29 58 
9 7443.266 8938.615 4 16 24 44 
10 7430.902 8966.314 3 15 29 49 
11 7418.389 9004.354 3 12 22 43 
12 7415.58 9012.071 4 17 23 47 
13 7401.726 9050.945 5 18 22 59 
14 7383.84 9094.978 5 18 24 53 
15 7376.949 9114.326 4 14 25 55 
16 7371.495 9131.672 4 15 27 46 
17 7358.133 9169.879 4 13 20 57 
18 7338.251 9223.408 3 19 27 51 
19 7329.869 9245.291 5 10 21 58 
20 7322.605 9270.143 5 15 22 48 
21 7318.54 9300.766 5 19 23 42 
22 7317.556 9324.228 3 19 25 58 
23 7317.062 9357.476 5 15 25 46 
24 7317.622 9386.987 4 18 22 55 
25 7318.999 9414.029 5 10 24 50 
26 7320.09 9447.555 3 12 23 59 
27 7321.449 9464.934 5 13 25 45 
28 7323.632 9481.08 4 8 29 43 
29 7327.379 9501.829 5 11 28 49 
30 7331.949 9521.766 5 9 25 46 
31 7335.882 9539.546 5 18 29 45 
32 7341.696 9558.561 4 13 23 58 
33 7351.082 9579.109 5 9 20 44 
34 7366.443 9604.718 3 15 22 48 
35 7400.951 9643.68 5 11 29 53 
36 7366.443 9604.718 3 19 20 43 
37 7351.082 9579.109 4 17 27 53 
38 7341.696 9558.561 4 13 27 59 
39 7335.882 9539.546 5 8 29 40 
40 7331.949 9521.766 5 13 23 54 
41 7327.379 9501.829 3 14 22 50 
42 7323.632 9481.08 5 14 22 49 
43 7321.449 9464.934 5 17 22 40 
44 7320.09 9447.555 5 10 28 47 
45 7318.999 9414.029 5 8 26 56 
46 7317.622 9386.987 4 8 23 52 
47 7317.062 9357.476 5 10 29 44 
48 7317.556 9324.228 3 9 29 48 
49 7318.54 9300.766 4 13 25 44 
50 7322.605 9270.143 5 13 29 47 
51 7329.869 9245.291 3 12 28 51 
52 7338.251 9223.408 3 9 21 47 
53 7358.133 9169.879 3 10 20 42 
54 7371.495 9131.672 4 11 21 49 
55 7376.949 9114.326 3 19 21 43 
56 7383.84 9094.978 3 8 25 46 
57 7401.726 9050.945 3 11 27 50 
58 7415.58 9012.071 4 16 27 59 
59 7415.58 9012.071 5 13 26 48 
