T X Y S0 S1 S2 S3 
0 9726.791 7631.097 5 14 28 57 
1 9726.791 7631.097 5 15 22 42 
2 9726.791 7631.097 4 16 24 54 
3 9726.791 7631.097 3 10 24 42 
4 9726.791 7631.097 5 17 27 49 
5 9726.791 7631.097 4 8 20 47 
6 9726.791 7631.097 5 18 28 58 
7 9726.791 7631.097 5 15 25 49 
8 9726.791 7631.097 3 8 23 59 
9 9726.791 7631.097 4 19 29 56 
10 9726.791 7631.097 5 13 21 46 
11 9726.791 7631.097 3 13 24 59 
12 9726.791 7631.097 5 19 24 54 
13 9726.791 7631.097 4 12 27 41 
14 9726.791 7631.097 3 17 25 54 
15 9726.791 7631.097 4 9 22 49 
16 9726.791 7631.097 5 12 28 54 
17 9726.791 7631.097 4 16 23 52 
18 9726.791 7631.097 3 14 24 58 
19 9726.791 7631.097 5 19 26 42 
20 9726.791 7631.097 4 17 27 53 
21 9726.791 7631.097 5 11 21 53 
22 9726.791 7631.097 3 16 23 57 
23 9726.791 7631.097 5 15 29 51 
24 9726.791 7631.097 4 14 27 47 
25 9726.791 7631.097 4 15 29 58 
26 9726.791 7631.097 5 14 28 52 
27 9726.791 7631.097 5 18 22 45 
28 9726.791 7631.097 3 8 20 42 
29 9726.791 7631.097 4 16 20 52 
30 9726.791 7631.097 3 10 26 49 
31 9726.791 7631.097 3 8 21 58 
32 9726.791 7631.097 4 18 28 40 
33 9726.791 7631.097 5 10 25 41 
34 9726.791 7631.097 5 14 20 59 
35 9726.791 7631.097 4 19 23 41 
36 9726.791 7631.097 4 12 20 51 
37 9726.791 7631.097 3 11 26 54 
38 9726.791 7631.097 4 13 23 42 
39 9726.791 7631.097 5 14 24 51 
40 9726.791 7631.097 3 16 28 44 
41 9726.791 7631.097 5 19 25 53 
42 9726.791 7631.097 4 19 29 50 
43 9726.791 7631.097 4 14 27 56 
44 9726.791 7631.097 3 14 25 55 
45 9726.791 7631.097 4 17 24 42 
46 9726.791 7631.097 3 16 20 50 
47 9726.791 7631.097 4 19 29 49 
48 9726.791 7631.097 3 13 20 51 
49 9726.791 7631.097 4 13 27 43 
50 9726.791 7631.097 4 11 20 50 
51 9726.791 7631.097 4 17 29 56 
52 9726.791 7631.097 4 16 28 41 
53 9726.791 7631.097 5 12 24 55 
54 9726.791 7631.097 4 13 22 49 
55 9726.791 7631.097 3 13 23 57 
56 9726.791 7631.097 3 9 20 49 
57 9726.791 7631.097 5 12 22 53 
58 9726.791 7631.097 3 13 27 53 
59 9726.791 7631.097 3 15 27 50 
