T X Y S0 S1 S2 S3 
0 4048.982 5917.549 5 11 26 58 
1 4048.982 5917.549 5 18 28 52 
2 4048.982 5917.549 3 9 28 50 
3 4048.982 5917.549 3 18 24 52 
4 4048.982 5917.549 5 18 28 49 
5 4048.982 5917.549 5 18 23 52 
6 4048.982 5917.549 3 14 27 49 
7 4048.982 5917.549 3 18 24 56 
8 4048.982 5917.549 5 9 23 40 
9 4048.982 5917.549 4 11 21 54 
10 4048.982 5917.549 5 9 28 41 
11 4048.982 5917.549 4 18 20 50 
12 4048.982 5917.549 3 17 22 46 
13 4048.982 5917.549 5 9 24 58 
14 4048.982 5917.549 5 13 29 49 
15 4048.982 5917.549 3 16 27 59 
16 4048.982 5917.549 4 11 23 55 
17 4048.982 5917.549 4 14 27 58 
18 4048.982 5917.549 4 17 28 47 
19 4048.982 5917.549 4 9 26 47 
20 4048.982 5917.549 5 16 28 52 
21 4048.982 5917.549 4 14 26 54 
22 4048.982 5917.549 4 10 24 40 
23 4048.982 5917.549 4 15 23 49 
24 4048.982 5917.549 3 15 21 40 
25 4048.982 5917.549 5 19 23 58 
26 4048.982 5917.549 3 17 22 58 
27 4048.982 5917.549 3 11 20 55 
28 4048.982 5917.549 3 16 27 47 
29 4048.982 5917.549 4 19 28 56 
30 4048.982 5917.549 3 9 27 47 
31 4048.982 5917.549 3 18 27 50 
32 4048.982 5917.549 4 18 26 56 
33 4048.982 5917.549 4 14 21 58 
34 4048.982 5917.549 4 12 28 50 
35 4048.982 5917.549 5 13 24 49 
36 4048.982 5917.549 5 19 20 40 
37 4048.982 5917.549 4 14 25 47 
38 4048.982 5917.549 4 16 24 54 
39 4048.982 5917.549 3 12 20 43 
40 4048.982 5917.549 3 13 22 55 
41 4048.982 5917.549 4 13 22 53 
42 4048.982 5917.549 4 9 25 43 
43 4048.982 5917.549 4 14 24 47 
44 4048.982 5917.549 5 11 22 40 
45 4048.982 5917.549 4 10 21 58 
46 4048.982 5917.549 4 12 21 40 
47 4048.982 5917.549 4 17 22 55 
48 4048.982 5917.549 4 10 24 49 
49 4048.982 5917.549 3 9 29 56 
50 4048.982 5917.549 3 10 20 45 
51 4048.982 5917.549 3 14 21 45 
52 4048.982 5917.549 3 18 26 59 
53 4048.982 5917.549 4 10 28 46 
54 4048.982 5917.549 4 8 28 52 
55 4048.982 5917.549 5 8 23 40 
56 4048.982 5917.549 3 16 24 48 
57 4048.982 5917.549 4 16 23 54 
58 4048.982 5917.549 4 9 24 50 
59 4048.982 5917.549 3 9 28 44 
