T X Y S0 S1 S2 S3 
0 5577.731 7220.665 4 14 27 44 
1 5577.731 7220.665 3 13 26 55 
2 5577.731 7220.665 3 17 28 59 
3 5577.731 7220.665 5 15 26 50 
4 5577.731 7220.665 4 16 23 59 
5 5577.731 7220.665 4 13 26 47 
6 5577.731 7220.665 4 13 26 42 
7 5577.731 7220.665 4 8 26 42 
8 5577.731 7220.665 4 15 28 49 
9 5577.731 7220.665 5 9 26 51 
10 5577.731 7220.665 5 11 27 58 
11 5577.731 7220.665 3 14 21 59 
12 5577.731 7220.665 4 18 26 49 
13 5577.731 7220.665 5 19 26 40 
14 5577.731 7220.665 5 18 28 49 
15 5577.731 7220.665 5 14 26 41 
16 5577.731 7220.665 5 16 23 56 
17 5577.731 7220.665 4 17 22 51 
18 5577.731 7220.665 4 16 24 42 
19 5577.731 7220.665 4 17 24 43 
20 5577.731 7220.665 5 10 23 40 
21 5577.731 7220.665 4 12 27 49 
22 5577.731 7220.665 4 19 25 42 
23 5577.731 7220.665 3 13 21 53 
24 5577.731 7220.665 5 19 23 47 
25 5577.731 7220.665 5 10 26 44 
26 5577.731 7220.665 3 15 20 53 
27 5577.731 7220.665 4 8 24 40 
28 5577.731 7220.665 4 18 22 50 
29 5577.731 7220.665 3 18 28 48 
30 5577.731 7220.665 4 13 29 41 
31 5577.731 7220.665 5 12 25 40 
32 5577.731 7220.665 4 12 28 49 
33 5577.731 7220.665 4 8 29 46 
34 5577.731 7220.665 5 8 21 53 
35 5577.731 7220.665 4 9 28 52 
36 5577.731 7220.665 4 11 28 47 
37 5577.731 7220.665 3 10 25 50 
38 5577.731 7220.665 4 14 26 52 
39 5577.731 7220.665 3 16 27 50 
40 5577.731 7220.665 4 14 26 53 
41 5577.731 7220.665 3 16 27 40 
42 5577.731 7220.665 4 11 27 55 
43 5577.731 7220.665 3 9 22 59 
44 5577.731 7220.665 3 14 23 44 
45 5577.731 7220.665 3 16 24 43 
46 5577.731 7220.665 3 13 29 41 
47 5577.731 7220.665 5 17 22 56 
48 5577.731 7220.665 4 16 28 54 
49 5577.731 7220.665 3 11 27 59 
50 5577.731 7220.665 3 14 27 47 
51 5577.731 7220.665 3 9 26 41 
52 5577.731 7220.665 3 10 20 40 
53 5577.731 7220.665 5 14 23 52 
54 5577.731 7220.665 3 9 28 40 
55 5577.731 7220.665 5 8 20 48 
56 5577.731 7220.665 4 12 20 57 
57 5577.731 7220.665 3 13 22 43 
58 5577.731 7220.665 3 18 22 46 
59 5577.731 7220.665 3 17 24 45 
