T X Y S0 S1 S2 
2 8088.751 8728.98 4 10 20 
3 8115.043 8699.68 4 19 20 
4 8159.535 8650.098 3 10 23 
5 8198.916 8606.209 5 18 29 
6 8203.87 8600.705 4 11 21 
7 8208.174 8595.913 4 16 21 
8 8230.285 8571.272 5 10 22 
9 8248.055 8552.38 5 17 21 
10 8266.406 8531.197 5 18 28 
11 8270.939 8525.982 3 16 24 
12 8274.182 8522.368 3 16 21 
13 8337.307 8452.038 5 17 21 
14 8349.871 8437.504 3 14 26 
15 8365.592 8419.313 4 11 25 
16 8370.187 8414.009 3 14 20 
17 8372.554 8411.34 5 18 23 
18 8442.292 8332.881 5 11 28 
19 8447.079 8327.499 5 13 24 
20 8442.292 8332.881 5 13 21 
21 8372.554 8411.34 5 15 23 
22 8370.187 8414.009 3 10 27 
23 8365.592 8419.313 4 16 28 
24 8349.871 8437.504 4 16 21 
25 8337.307 8452.038 5 10 29 
26 8274.182 8522.368 4 16 21 
27 8270.939 8525.982 5 16 20 
28 8266.406 8531.197 3 10 28 
29 8266.406 8531.197 4 10 22 
