T X Y S0 S1 S2 
4 8011.294 10295.538 5 13 27 
5 8006.311 10287.532 5 10 27 
6 8003.426 10282.862 5 13 26 
7 7995.644 10272.41 4 13 22 
8 7980.428 10254.285 5 18 20 
9 7899.161 10180.118 3 19 22 
10 7980.428 10254.285 4 16 21 
11 7995.644 10272.41 3 12 28 
12 8003.426 10282.862 3 15 20 
13 8006.311 10287.532 5 17 21 
14 8011.294 10295.538 3 12 28 
15 8032.961 10342.574 3 19 21 
16 8011.294 10295.538 3 12 25 
17 8006.311 10287.532 4 14 26 
18 8003.426 10282.862 3 13 25 
19 7995.644 10272.41 5 19 27 
20 7980.428 10254.285 3 13 21 
21 7899.161 10180.118 5 19 20 
22 7980.428 10254.285 5 18 24 
23 7995.644 10272.41 3 13 28 
24 8003.426 10282.862 3 16 27 
25 8006.311 10287.532 4 15 29 
26 8011.294 10295.538 4 16 20 
27 8032.961 10342.574 3 17 23 
28 8011.294 10295.538 4 12 20 
29 8011.294 10295.538 4 15 27 
