T X Y S0 S1 S2 
7 4458.767 9206.262 3 16 25 
8 4663.216 9238.063 4 18 27 
9 4741.93 9250.295 3 14 21 
10 4795.743 9258.512 3 15 23 
11 4855.553 9267.641 3 16 25 
12 4795.743 9258.512 3 18 29 
13 4741.93 9250.295 4 15 26 
14 4663.216 9238.063 5 18 22 
15 4458.767 9206.262 4 15 25 
16 4390.332 9195.709 4 17 21 
17 4458.767 9206.262 4 14 25 
18 4663.216 9238.063 5 14 25 
19 4741.93 9250.295 4 13 27 
20 4795.743 9258.512 3 19 25 
21 4855.553 9267.641 5 17 22 
22 4795.743 9258.512 4 14 25 
23 4741.93 9250.295 5 12 25 
24 4663.216 9238.063 5 14 23 
25 4458.767 9206.262 3 19 28 
26 4390.332 9195.709 3 15 25 
27 4458.767 9206.262 3 12 25 
28 4663.216 9238.063 4 17 23 
29 4663.216 9238.063 5 14 23 
