T X Y S0 S1 S2 
0 11880.921 8678.542 5 13 27 
1 11880.921 8678.542 3 10 25 
2 11880.921 8678.542 4 16 25 
3 11880.921 8678.542 4 15 20 
4 11880.921 8678.542 5 11 21 
5 11880.921 8678.542 4 13 22 
6 11880.921 8678.542 3 17 27 
7 11880.921 8678.542 3 17 23 
8 11880.921 8678.542 5 18 26 
9 11880.921 8678.542 3 19 23 
10 11880.921 8678.542 5 10 29 
11 11880.921 8678.542 4 11 21 
12 11880.921 8678.542 3 10 25 
13 11880.921 8678.542 3 14 25 
14 11880.921 8678.542 5 12 26 
15 11880.921 8678.542 4 10 24 
16 11880.921 8678.542 5 16 20 
17 11880.921 8678.542 3 12 29 
18 11880.921 8678.542 4 10 28 
19 11880.921 8678.542 3 10 20 
20 11880.921 8678.542 3 15 29 
21 11880.921 8678.542 3 13 21 
22 11880.921 8678.542 3 15 20 
23 11880.921 8678.542 5 17 24 
24 11880.921 8678.542 5 18 26 
25 11880.921 8678.542 4 16 29 
26 11880.921 8678.542 5 12 24 
27 11880.921 8678.542 5 10 24 
28 11880.921 8678.542 5 17 20 
29 11880.921 8678.542 5 16 20 
