T X Y S0 S1 S2 
8 6132.608 7647.009 3 10 24 
9 6148.731 7658.884 3 19 20 
10 6154.57 7663.354 4 19 23 
11 6162.658 7669.548 5 15 20 
12 6188.9 7689.641 4 15 26 
13 6250.53 7736.832 4 15 23 
14 6293.332 7770.079 4 17 24 
15 6356.002 7819.005 5 15 29 
16 6435.562 7883.62 3 16 28 
17 6445.277 7891.504 4 16 28 
18 6486.063 7924.418 4 10 24 
19 6487.682 7925.719 4 13 22 
20 6510.044 7943.654 3 10 22 
21 6566.146 7988.8 3 19 28 
22 6593.798 8017.265 4 18 21 
23 6566.146 7988.8 3 14 20 
24 6510.044 7943.654 3 16 24 
25 6487.682 7925.719 4 11 20 
26 6486.063 7924.418 4 15 27 
27 6445.277 7891.504 4 19 24 
28 6435.562 7883.62 4 19 28 
29 6435.562 7883.62 5 18 24 
