T X Y S0 S1 S2 
2 6089.753 7636.534 3 15 26 
3 6073.437 7623.057 4 11 20 
4 6054.881 7607.734 3 17 26 
5 6008.313 7572.708 5 13 24 
6 5993.93 7562.2 5 16 22 
7 5940.051 7522.693 4 19 25 
8 5931.193 7516.332 4 14 22 
9 5940.051 7522.693 5 17 20 
10 5993.93 7562.2 3 16 25 
11 6008.313 7572.708 4 16 29 
12 6054.881 7607.734 3 18 21 
13 6073.437 7623.057 4 17 21 
14 6089.753 7636.534 5 16 27 
15 6103.897 7648.209 4 13 25 
16 6089.753 7636.534 3 13 24 
17 6073.437 7623.057 4 19 27 
18 6054.881 7607.734 5 10 25 
19 6008.313 7572.708 3 11 22 
20 5993.93 7562.2 3 19 26 
21 5940.051 7522.693 3 14 27 
22 5931.193 7516.332 3 11 29 
23 5940.051 7522.693 4 17 22 
24 5993.93 7562.2 4 19 25 
25 6008.313 7572.708 4 14 28 
26 6054.881 7607.734 5 13 21 
27 6073.437 7623.057 5 17 24 
28 6089.753 7636.534 5 11 22 
29 6089.753 7636.534 3 16 27 
