T X Y S0 S1 S2 
7 9758.249 8626.614 3 13 24 
8 9772.196 8628.615 5 18 28 
9 9793.464 8631.54 4 16 25 
10 9772.196 8628.615 3 17 27 
11 9758.249 8626.614 3 11 28 
12 9534.631 8590.809 4 10 24 
13 9758.249 8626.614 5 15 27 
14 9772.196 8628.615 4 14 28 
15 9793.464 8631.54 4 13 22 
16 9772.196 8628.615 4 18 23 
17 9758.249 8626.614 5 15 26 
18 9534.631 8590.809 3 17 28 
19 9758.249 8626.614 5 15 23 
20 9772.196 8628.615 4 16 29 
21 9793.464 8631.54 4 18 24 
22 9772.196 8628.615 5 18 25 
23 9758.249 8626.614 3 13 21 
24 9534.631 8590.809 5 15 27 
25 9758.249 8626.614 3 15 20 
26 9772.196 8628.615 3 10 28 
27 9793.464 8631.54 5 18 25 
28 9772.196 8628.615 3 11 25 
29 9772.196 8628.615 5 12 26 
