T X Y S0 S1 S2 
0 3806.654 5724.304 4 12 25 
1 3806.654 5724.304 3 14 20 
2 3806.654 5724.304 5 16 24 
3 3806.654 5724.304 5 15 24 
4 3806.654 5724.304 3 18 26 
5 3806.654 5724.304 3 16 24 
6 3806.654 5724.304 4 11 28 
7 3806.654 5724.304 3 10 21 
8 3806.654 5724.304 3 12 20 
9 3806.654 5724.304 4 14 24 
10 3806.654 5724.304 5 12 23 
11 3806.654 5724.304 5 10 22 
12 3806.654 5724.304 4 17 22 
13 3806.654 5724.304 5 14 27 
14 3806.654 5724.304 5 19 20 
15 3806.654 5724.304 3 18 26 
16 3806.654 5724.304 4 19 25 
17 3806.654 5724.304 3 17 20 
18 3806.654 5724.304 4 12 29 
19 3806.654 5724.304 3 14 29 
20 3806.654 5724.304 3 16 28 
21 3806.654 5724.304 3 15 21 
22 3806.654 5724.304 5 10 20 
23 3806.654 5724.304 5 15 22 
24 3806.654 5724.304 3 18 23 
25 3806.654 5724.304 3 14 29 
26 3806.654 5724.304 5 18 28 
27 3806.654 5724.304 4 19 22 
28 3806.654 5724.304 4 12 29 
29 3806.654 5724.304 3 16 28 
